period_start_date,INDPRO,realtime_start_date
1927-01-01,106.0000,1927-02-28
1927-02-01,108.0000,1927-03-28
1927-03-01,112.0000,1927-04-28
1927-04-01,109.0000,1927-05-27
1927-05-01,111.0000,1927-06-27
1927-06-01,108.0000,1927-07-28
1927-07-01,105.0000,1927-08-29
1927-08-01,107.0000,1927-09-28
1927-09-01,106.0000,1927-10-28
1927-10-01,103.0000,1927-11-28
1927-11-01,98.0000,1927-12-27
1927-12-01,99.0000,1928-01-27
1928-01-01,106.0000,1928-02-27
1928-02-01,110.0000,1928-03-28
1928-03-01,109.0000,1928-04-28
1928-04-01,109.0000,1928-05-28
1928-05-01,109.0000,1928-06-28
1928-06-01,108.0000,1928-07-28
1928-07-01,109.0000,1928-08-27
1928-08-01,112.0000,1928-09-28
1928-09-01,115.0000,1928-10-29
1928-10-01,114.0000,1928-11-28
1928-11-01,112.0000,1928-12-28
1928-12-01,112.0000,1929-01-29
1929-01-01,117.0000,1929-03-01
1929-02-01,117.0000,1929-03-26
1929-03-01,118.0000,1929-04-27
1929-04-01,123.0000,1929-05-27
1929-05-01,123.0000,1929-06-27
1929-06-01,126.0000,1929-07-27
1929-07-01,124.0000,1929-08-28
1929-08-01,123.0000,1929-09-26
1929-09-01,121.0000,1929-10-26
1929-10-01,117.0000,1929-11-27
1929-11-01,106.0000,1929-12-23
1929-12-01,99.0000,1930-01-24
1930-01-01,103.0000,1930-02-24
1930-02-01,106.0000,1930-03-24
1930-03-01,104.0000,1930-04-24
1930-04-01,106.0000,1930-05-24
1930-05-01,104.0000,1930-06-25
1930-06-01,101.0000,1930-07-25
1930-07-01,94.0000,1930-08-25
1930-08-01,91.0000,1930-09-25
1930-09-01,90.0000,1930-10-24
1930-10-01,88.0000,1930-11-24
1930-11-01,84.0000,1930-12-26
1930-12-01,82.0000,1931-01-23
1931-01-01,82.0000,1931-02-26
1931-02-01,86.0000,1931-03-25
1931-03-01,88.0000,1931-04-24
1931-04-01,90.0000,1931-05-25
1931-05-01,89.0000,1931-06-26
1931-06-01,85.0000,1931-07-24
1931-07-01,83.0000,1931-08-26
1931-08-01,79.0000,1931-09-26
1931-09-01,76.0000,1931-10-26
1931-10-01,73.0000,1931-11-27
1931-11-01,72.0000,1931-12-24
1931-12-01,71.0000,1932-01-27
1932-01-01,72.0000,1932-02-29
1932-02-01,69.0000,1932-03-28
1932-03-01,67.0000,1932-04-28
1932-04-01,64.0000,1932-05-26
1932-05-01,60.0000,1932-06-24
1932-06-01,59.0000,1932-07-25
1932-07-01,58.0000,1932-08-25
1932-08-01,60.0000,1932-09-24
1932-09-01,66.0000,1932-10-26
1932-10-01,66.0000,1932-11-25
1932-11-01,65.0000,1932-12-24
1932-12-01,66.0000,1933-01-25
1933-01-01,65.0000,1933-02-27
1933-02-01,64.0000,1933-03-28
1933-03-01,60.0000,1933-04-26
1933-04-01,67.0000,1933-05-25
1933-05-01,77.0000,1933-06-24
1933-06-01,90.0000,1933-07-26
1933-07-01,100.0000,1933-08-24
1933-08-01,91.0000,1933-09-25
1933-09-01,84.0000,1933-10-26
1933-10-01,77.0000,1933-11-25
1933-11-01,73.0000,1933-12-24
1933-12-01,75.0000,1934-01-26
1934-01-01,78.0000,1934-02-26
1934-02-01,81.0000,1934-03-27
1934-03-01,85.0000,1934-04-23
1934-04-01,86.0000,1934-05-24
1934-05-01,86.0000,1934-06-25
1934-06-01,84.0000,1934-07-27
1934-07-01,75.0000,1934-08-25
1934-08-01,73.0000,1934-09-28
1934-09-01,71.0000,1934-10-25
1934-10-01,74.0000,1934-11-26
1934-11-01,74.0000,1934-12-26
1934-12-01,86.0000,1935-01-28
1935-01-01,91.0000,1935-02-26
1935-02-01,89.0000,1935-03-27
1935-03-01,87.0000,1935-04-27
1935-04-01,86.0000,1935-05-27
1935-05-01,85.0000,1935-06-25
1935-06-01,86.0000,1935-07-26
1935-07-01,86.0000,1935-08-26
1935-08-01,86.0000,1935-09-26
1935-09-01,89.0000,1935-10-27
1935-10-01,94.0000,1935-11-28
1935-11-01,97.0000,1935-12-27
