period_start_date,CPIAUCSL,realtime_start_date
1972-07-01,125.310,1972-08-22
1972-08-01,125.620,1972-09-22
1972-09-01,126.200,1972-10-20
1972-10-01,126.590,1972-11-21
1972-11-01,126.930,1972-12-22
1972-12-01,127.200,1973-01-23
1973-01-01,127.870,1973-02-22
1973-02-01,128.870,1973-03-21
1973-03-01,129.900,1973-04-20
1973-04-01,130.700,1973-05-22
1973-05-01,131.470,1973-06-21
1973-06-01,132.210,1973-07-20
1973-07-01,132.510,1973-08-21
1973-08-01,135.060,1973-09-21
1973-09-01,135.490,1973-10-19
1973-10-01,136.610,1973-11-21
1973-11-01,137.680,1973-12-21
1973-12-01,138.430,1974-01-22
1974-01-01,139.880,1974-02-22
1974-02-01,141.670,1974-03-21
1974-03-01,143.190,1974-04-19
1974-04-01,144.010,1974-05-21
1974-05-01,145.540,1974-06-21
1974-06-01,146.940,1974-07-19
1974-07-01,148.050,1974-08-21
1974-08-01,150.040,1974-09-20
1974-09-01,151.900,1974-10-22
1974-10-01,153.200,1974-11-21
1974-11-01,154.380,1974-12-20
1974-12-01,155.400,1975-01-21
1975-01-01,156.400,1975-02-21
1975-02-01,157.400,1975-03-20
1975-03-01,157.890,1975-04-22
1975-04-01,158.710,1975-05-21
1975-05-01,159.270,1975-06-20
1975-06-01,160.500,1975-07-22
1975-07-01,162.350,1975-08-21
1975-08-01,162.620,1975-09-19
1975-09-01,163.370,1975-10-22
1975-10-01,164.440,1975-11-20
1975-11-01,165.570,1975-12-19
1975-12-01,166.380,1976-01-21
1976-01-01,167.100,1976-02-20
1976-02-01,167.300,1976-03-19
1976-03-01,167.600,1976-04-21
1976-04-01,168.300,1976-05-21
1976-05-01,169.300,1976-06-22
1976-06-01,170.100,1976-07-21
1976-07-01,170.900,1976-08-20
1976-08-01,171.800,1976-09-21
1976-09-01,172.500,1976-10-21
1976-10-01,173.100,1976-11-19
1976-11-01,173.600,1976-12-21
1976-12-01,174.300,1977-01-19
1977-01-01,175.600,1977-02-18
1977-02-01,177.300,1977-03-18
1977-03-01,178.400,1977-04-21
1977-04-01,179.800,1977-05-20
1977-05-01,180.900,1977-06-21
1977-06-01,181.900,1977-07-21
1977-07-01,182.600,1977-08-19
1977-08-01,183.200,1977-09-21
1977-09-01,183.800,1977-10-21
1977-10-01,184.300,1977-11-22
1977-11-01,185.200,1977-12-21
1977-12-01,185.900,1978-01-20
1978-01-01,187.500,1978-02-27
1978-02-01,188.700,1978-03-28
1978-03-01,190.200,1978-04-28
1978-04-01,191.800,1978-05-31
1978-05-01,193.600,1978-06-30
1978-06-01,195.300,1978-07-28
1978-07-01,196.300,1978-08-29
1978-08-01,197.400,1978-09-26
1978-09-01,198.800,1978-10-26
1978-10-01,200.400,1978-11-28
1978-11-01,201.500,1978-12-22
1978-12-01,202.800,1979-01-24
1979-01-01,205.200,1979-02-23
1979-02-01,207.700,1979-03-23
1979-03-01,209.900,1979-04-26
1979-04-01,212.200,1979-05-25
1979-05-01,214.400,1979-06-26
1979-06-01,216.600,1979-07-26
1979-07-01,218.700,1979-08-24
1979-08-01,220.900,1979-09-25
1979-09-01,223.400,1979-10-26
1979-10-01,225.400,1979-11-27
1979-11-01,227.700,1979-12-21
1979-12-01,230.300,1980-01-25
1980-01-01,234.000,1980-02-22
1980-02-01,237.200,1980-03-25
1980-03-01,240.500,1980-04-22
1980-04-01,242.800,1980-05-23
1980-05-01,244.900,1980-06-24
1980-06-01,247.100,1980-07-23
1980-07-01,247.200,1980-08-22
1980-08-01,248.900,1980-09-23
1980-09-01,251.500,1980-10-24
1980-10-01,254.000,1980-11-25
1980-11-01,256.600,1980-12-23
1980-12-01,259.400,1981-01-23
1981-01-01,261.400,1981-02-25
1981-02-01,263.900,1981-03-24
1981-03-01,265.500,1981-04-23
1981-04-01,266.600,1981-05-22
1981-05-01,268.400,1981-06-23
1981-06-01,270.300,1981-07-23
1981-07-01,273.500,1981-08-25
1981-08-01,275.800,1981-09-24
1981-09-01,279.000,1981-10-23
1981-10-01,280.000,1981-11-24
1981-11-01,281.400,1981-12-22
1981-12-01,282.600,1982-01-22
1982-01-01,283.400,1982-02-25
1982-02-01,284.100,1982-03-23
1982-03-01,283.300,1982-04-23
1982-04-01,284.000,1982-05-21
1982-05-01,286.700,1982-06-22
1982-06-01,289.700,1982-07-23
1982-07-01,291.400,1982-08-24
1982-08-01,292.200,1982-09-23
1982-09-01,292.700,1982-10-26
1982-10-01,294.100,1982-11-23
1982-11-01,294.300,1982-12-21
1982-12-01,293.500,1983-01-21
1983-01-01,293.800,1983-02-25
1983-02-01,293.200,1983-03-23
1983-03-01,293.600,1983-04-22
1983-04-01,295.300,1983-05-24
1983-05-01,296.900,1983-06-22
1983-06-01,297.500,1983-07-22
1983-07-01,298.700,1983-08-23
1983-08-01,300.000,1983-09-23
1983-09-01,301.400,1983-10-25
1983-10-01,302.700,1983-11-23
1983-11-01,303.600,1983-12-21
1983-12-01,304.400,1984-01-24
1984-01-01,305.800,1984-02-24
1984-02-01,306.900,1984-03-23
1984-03-01,307.600,1984-04-24
1984-04-01,309.000,1984-05-22
1984-05-01,309.600,1984-06-22
1984-06-01,310.100,1984-07-24
1984-07-01,311.000,1984-08-22
1984-08-01,312.400,1984-09-21
1984-09-01,313.500,1984-10-24
1984-10-01,314.600,1984-11-21
1984-11-01,315.300,1984-12-20
1984-12-01,315.900,1985-01-23
1985-01-01,316.600,1985-02-26
1985-02-01,317.700,1985-03-22
1985-03-01,319.200,1985-04-23
1985-04-01,320.400,1985-05-21
1985-05-01,321.100,1985-06-20
1985-06-01,321.800,1985-07-23
1985-07-01,322.400,1985-08-22
1985-08-01,323.000,1985-09-24
1985-09-01,323.600,1985-10-23
1985-10-01,324.600,1985-11-22
1985-11-01,326.400,1985-12-20
1985-12-01,327.800,1986-01-22
1986-01-01,329.000,1986-02-25
1986-02-01,327.700,1986-03-25
1986-03-01,326.300,1986-04-22
1986-04-01,325.400,1986-05-21
1986-05-01,326.000,1986-06-20
1986-06-01,327.500,1986-07-23
1986-07-01,327.600,1986-08-21
1986-08-01,328.200,1986-09-23
1986-09-01,329.300,1986-10-23
1986-10-01,329.800,1986-11-25
1986-11-01,330.700,1986-12-19
1986-12-01,331.500,1987-01-21
1987-01-01,333.600,1987-02-27
1987-02-01,335.000,1987-03-27
1987-03-01,336.400,1987-04-24
1987-04-01,337.900,1987-05-22
1987-05-01,339.000,1987-06-23
1987-06-01,340.200,1987-07-22
1987-07-01,341.000,1987-08-21
1987-08-01,342.600,1987-09-23
1987-09-01,343.200,1987-10-23
1987-10-01,344.500,1987-11-20
1987-11-01,345.500,1987-12-18
1987-12-01,345.900,1988-01-20
1988-01-01,115.900,1988-02-26
1988-02-01,116.100,1988-03-23
1988-03-01,116.700,1988-04-20
1988-04-01,117.200,1988-05-20
1988-05-01,117.600,1988-06-21
1988-06-01,118.000,1988-07-22
1988-07-01,118.500,1988-08-23
1988-08-01,119.000,1988-09-21
1988-09-01,119.400,1988-10-21
1988-10-01,119.900,1988-11-22
1988-11-01,120.200,1988-12-20
1988-12-01,120.600,1989-01-19
1989-01-01,121.400,1989-02-22
1989-02-01,121.900,1989-03-21
1989-03-01,122.500,1989-04-18
1989-04-01,123.300,1989-05-18
1989-05-01,124.000,1989-06-16
1989-06-01,124.200,1989-07-19
1989-07-01,124.500,1989-08-18
1989-08-01,124.500,1989-09-19
1989-09-01,124.700,1989-10-19
1989-10-01,125.300,1989-11-21
1989-11-01,125.800,1989-12-19
1989-12-01,126.300,1990-01-18
1990-01-01,127.700,1990-02-21
1990-02-01,128.300,1990-03-20
1990-03-01,128.900,1990-04-17
1990-04-01,129.100,1990-05-16
1990-05-01,129.300,1990-06-15
1990-06-01,130.000,1990-07-18
1990-07-01,130.500,1990-08-16
1990-08-01,131.500,1990-09-18
