date,SPY_price,SPY_return,GOLD_return,CMDTY_FUT_return,IEF_return,DGS10,DGS1,DTB3,VIX_LEVEL,WAAA,WBAA,GS10,GS1,TERM_SPREAD_10Y_1Y,CREDIT_SPREAD_BAA_AAA,D_CREDIT_20D,D_CREDIT_15D,CASH_return,daily_rf,SPY_drawdown,SPY_MA20,SPY_CROSS_ABOVE_MA20,VIX_Z,CMDTY_FUT_price,CMDTY_RET60,CMDTY_RET20,macro_regime_raw,macro_regime_confirmed,refined_regime_raw,refined_regime_confirmed,steep_rate_regime_confirmed,final_regime_confirmed,monthly_either_state,FLAT_VIX_STRESS,FLAT_CREDIT_DD5_STRESS,STEEP_EITHER_SELL_STRESS,STEEP_CREDIT_DD5_STRESS,STEEP_CMDTY_RET60_NEG10,BACKBONE_V2_ENTRY_SIGNAL,R3_RECOVERY,full_risk_state,steep_slow_growth_overlay_state,is_stress_state,trigger_lock_full_risk_state,trigger_lock_active_locks,trigger_lock_locks_added_today,trigger_lock_locks_unlocked_today,trigger_lock_entry_signal,trigger_lock_exit_signal,final_allocation_state,trigger_lock_vix_entry_condition,trigger_lock_credit_entry_condition,trigger_lock_cmdty_entry_condition,FLAT_RATE_REFINED_L50_H30_return,FLAT_RATE_REFINED_L50_H30_nav,FLAT_RATE_REFINED_L50_H30_drawdown,FLAT_RATE_REFINED_L50_H30_turnover,FLAT_RATE_REFINED_L50_H30_transaction_cost,FLAT_RATE_REFINED_L50_H30_weight_SPY,FLAT_RATE_REFINED_L50_H30_weight_GOLD,FLAT_RATE_REFINED_L50_H30_weight_CMDTY_FUT,FLAT_RATE_REFINED_L50_H30_weight_IEF,FLAT_RATE_REFINED_L50_H30_weight_CASH,FINAL_REGIME_HEDGE_TRIGGER_LOCK_return,FINAL_REGIME_HEDGE_TRIGGER_LOCK_nav,FINAL_REGIME_HEDGE_TRIGGER_LOCK_drawdown,FINAL_REGIME_HEDGE_TRIGGER_LOCK_turnover,FINAL_REGIME_HEDGE_TRIGGER_LOCK_transaction_cost,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_SPY,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_GOLD,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_CMDTY_FUT,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_IEF,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_CASH,SPY_BUY_HOLD_return,SPY_BUY_HOLD_nav,SPY_BUY_HOLD_drawdown,SPY_BUY_HOLD_turnover,SPY_BUY_HOLD_transaction_cost,SPY_BUY_HOLD_weight_SPY,SPY_BUY_HOLD_weight_GOLD,SPY_BUY_HOLD_weight_CMDTY_FUT,SPY_BUY_HOLD_weight_IEF,SPY_BUY_HOLD_weight_CASH,SPY_CASH_TIMING_return,SPY_CASH_TIMING_nav,SPY_CASH_TIMING_drawdown,SPY_CASH_TIMING_turnover,SPY_CASH_TIMING_transaction_cost,SPY_CASH_TIMING_weight_SPY,SPY_CASH_TIMING_weight_GOLD,SPY_CASH_TIMING_weight_CMDTY_FUT,SPY_CASH_TIMING_weight_IEF,SPY_CASH_TIMING_weight_CASH,flat_refined_state,recovery_flat_low_active,final_state,allocation_cross_state,final_regime_cross_state,CREDIT_SPREAD,D_CREDIT_SPREAD_60D,SPY_MA50,SPY_MA100,SPY_vs_MA20,SPY_vs_MA50,SPY_above_MA20,SPY_above_MA50,CREDIT_SPREAD_Z_252D,CREDIT_SPREAD_Q75_252D,final_regime,base_regime,credit_lock_state_baseline,vix_lock_state,cmdty_lock_state,final_state,baseline_strategy_NAV,baseline_strategy_drawdown,credit_entry_marker,credit_unlock_marker,relock_marker,false_recovery_marker
2015-01-02,170.12501525878906,-0.0005352620336693,0.0044021834120386,-0.011329755515802,0.005094447243128,2.12,0.25,0.02,17.79,3.72,4.68,2.12,0.25,1.87,0.9599999999999996,0.0999999999999992,0.0699999999999994,7.935717540874521e-07,7.935717540874521e-07,-0.0157628016983242,169.5990783691406,False,0.956970938281758,1.0054948879781178,-0.270182250037693,-0.1352873793215536,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,0.0022795926047293,4.472735951878782,-0.0042363487414061,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0048867680938011,4.716586489218315,-0.0104702944050834,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0005352620336693,1.8922526008005929,-0.0157628016983238,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.935717540874521e-07,2.3552052901591174,-0.0098241532055723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9599999999999995,0.19999999999999973,168.10973052978517,164.89301376342775,0.0031010598330241113,0.01198791243465136,True,True,2.354571765466271,0.7525,STEEP_LOW_RATE,STEEP,False,False,True,True,4.71658648921831,-0.010470294405083402,False,False,False,False
2015-01-05,167.05262756347656,-0.0180595880660987,0.0150771493083454,-0.0256935920301191,0.0061023473073607,2.04,0.26,0.03,19.92,3.72,4.68,2.04,0.26,1.78,0.9599999999999996,0.0999999999999992,0.0699999999999994,1.190298363207276e-06,1.190298363207276e-06,-0.0335377200589837,169.40031890869142,False,1.6115549940188707,0.9796601125380378,-0.2814695936755821,-0.1545949428854304,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.005978620379369,4.445995161565343,-0.0101896415998556,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0087947879076561,4.758067867039107,-0.0017675905160505,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0180595880660987,1.8580792983131305,-0.0335377200589832,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.3552080935561195,-0.0098229746008825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9599999999999995,0.19999999999999973,168.2768112182617,164.97705169677735,-0.013858836632298699,-0.007274820849780261,False,False,2.327637225319953,0.7525,STEEP_LOW_RATE,STEEP,False,False,True,True,4.7580678670391015,-0.0017675905160505767,False,False,False,False
2015-01-06,165.4791717529297,-0.0094189228478253,0.0113989607947957,-0.0144855912222423,0.0067177867065202,1.97,0.25,0.03,21.12,3.72,4.68,1.97,0.25,1.72,0.9599999999999996,0.0699999999999994,-0.0100000000000002,1.190298363207276e-06,1.190298363207276e-06,-0.0426407537090814,169.10888442993163,False,1.950223302368793,0.9654691566110758,-0.2809394760614266,-0.160160360569794,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.0013505680706525,4.439990542457857,-0.011526447865912,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0081221389330028,4.796713555307855,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0094189228478253,1.8405781927571772,-0.0426407537090811,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.3552108969564585,-0.0098217959947898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9599999999999995,0.19999999999999973,168.37552642822266,165.03461624145507,-0.021463760991847103,-0.01720175572266236,False,False,2.3014443849555066,0.7525,STEEP_LOW_RATE,STEEP,False,False,True,True,4.79671355530785,0.0,False,False,False,False
2015-01-07,167.54119873046875,0.0124609457232345,-0.0058914141498036,-0.0025125628140703,-0.0001857942650291,1.96,0.25,0.03,19.31,3.72,4.68,1.96,0.25,1.71,0.9599999999999996,0.0699999999999994,-0.0100000000000002,1.190298363207276e-06,1.190298363207276e-06,-0.0307111521034135,168.97779083251953,False,1.352355465604551,0.963043354710043,-0.2848135156537418,-0.1425485961123104,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,0.0061375757291026,4.467241320648692,-0.0054596165834739,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.0018974802304614,4.787611886165473,-0.0018974802304613,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0124609457232345,1.8635135377164935,-0.0307111521034132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.3552137003601343,-0.0098206173872942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9599999999999995,0.19999999999999973,168.49077392578124,165.10525909423828,-0.00850166223012494,-0.005635769681553993,False,False,2.2759582871547464,0.7525,STEEP_LOW_RATE,STEEP,False,False,True,True,4.787611886165467,-0.0018974802304613236,False,False,False,False
2015-01-08,170.5142364501953,0.0177451142898257,-0.0042085189597629,-0.0020150826019363,-0.0040781419157384,2.03,0.23,0.03,17.01,3.72,4.68,2.03,0.23,1.7999999999999998,0.9599999999999996,0.0699999999999994,-0.0100000000000002,1.190298363207276e-06,1.190298363207276e-06,-0.0135110107176352,169.00111618041993,True,0.6159111046477573,0.9611027428010565,-0.2848375230920007,-0.1510606345746683,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,True,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,0.0068334861870436,4.497768152507535,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.0041172550289457,4.767900067050517,-0.0060069228493859,0.0,0.0,0.0,0.3,0.0,0.7,0.0,0.0177451142898257,1.8965817984239104,-0.0135110107176348,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.355216503767147,-0.0098194387783957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9599999999999995,0.19999999999999973,168.66992919921876,165.20596008300782,0.008953315244143223,0.010934416464942087,True,True,2.2511462454222158,0.7525,STEEP_LOW_RATE,STEEP,False,False,True,True,4.767900067050512,-0.006006922849385976,False,False,False,False
2015-01-09,169.14779663085938,-0.008013640665922,0.0113851963690558,-0.004038379743107,0.0049323954552071,1.98,0.22,0.02,17.55,3.54,4.53,1.98,0.22,1.76,0.9900000000000002,0.1,0.0200000000000004,7.935717540874521e-07,7.935717540874521e-07,-0.0214163789986328,169.09242248535156,False,0.7736379417292334,0.9572214449534842,-0.2679035137226048,-0.1327472393329316,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,False,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.008513640665922,4.459475770658458,-0.0085136406659219,1.0,0.0005,1.0,0.0,0.0,0.0,0.0,0.0068682357293617,4.80064712864506,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.008013640665922,1.881383273397813,-0.0214163789986322,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.935717540874521e-07,2.355218372800439,-0.0098186529990709,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_LOW_RATE_NORMAL,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9900000000000002,0.23000000000000043,168.7846939086914,165.27955322265626,0.00032747857469850317,0.0021512775463183864,True,True,2.4718510830730844,0.7525,STEEP_LOW_RATE,STEEP,False,False,True,True,4.800647128645054,0.0,False,False,False,False
2015-01-12,167.82275390625,-0.0078336386935095,0.0110864352607888,-0.0306639785006527,0.0035200830772672,1.92,0.19,0.03,19.6,3.54,4.53,1.92,0.19,1.73,0.9900000000000002,0.1,0.0200000000000004,1.190298363207276e-06,1.190298363207276e-06,-0.0290822495169437,169.0750648498535,False,1.394547577999454,0.9278692271450668,-0.2843779232927963,-0.1537610619469017,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.0026567778081211,4.447627934395119,-0.0111477996224554,1.0,0.0005,0.5,0.0,0.0,0.5,0.0,0.0057899887323236,4.828442821427776,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0078336386935095,1.8666451965900024,-0.0290822495169431,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.3552211762130133,-0.0098174743878343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9900000000000002,0.23000000000000043,168.87789855957033,165.33145202636717,-0.007406834027924858,-0.006247973608862312,False,False,2.435518741809662,0.7599999999999998,STEEP_LOW_RATE,STEEP,False,False,True,True,4.828442821427771,0.0,False,False,False,False
2015-01-13,167.35072326660156,-0.0028126736611182,-0.003373767752371,-0.011111111111111,0.000922850094204,1.91,0.2,0.03,20.56,3.54,4.53,1.91,0.2,1.71,0.9900000000000002,0.0200000000000004,0.0100000000000006,1.190298363207276e-06,1.190298363207276e-06,-0.0318131243008396,169.16999588012695,False,1.6619693117071934,0.9175595690656774,-0.2990177592405028,-0.149999999999999,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.0009449117834571,4.443425318351476,-0.0120821777186898,0.0,0.0,0.5,0.0,0.0,0.5,0.0,-0.0003661352597684,4.826674958261076,-0.0003661352597684,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0028126736611182,1.861394932810901,-0.031813124300839,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.3552239796289243,-0.0098162957751948,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9900000000000002,0.23000000000000043,168.9407437133789,165.3742855834961,-0.010754109226405073,-0.009411705026437733,False,False,2.4004704486089397,0.7599999999999998,STEEP_LOW_RATE,STEEP,False,False,True,True,4.82667495826107,-0.00036613525976847416,False,False,False,False
2015-01-14,166.34039306640625,-0.0060372024719952,-0.0016080097792615,0.0204890945142102,0.0046104483177153,1.86,0.18,0.04,21.48,3.54,4.53,1.86,0.18,1.6800000000000002,0.9900000000000002,0.0200000000000004,0.0100000000000006,1.5869854708139286e-06,1.5869854708139286e-06,-0.0376582645001638,169.2712387084961,False,1.9033805388491327,0.936359533798682,-0.2857143179841132,-0.1223482818883043,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.0007133770771399,4.440255480585381,-0.0127869356472033,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0027449108886222,4.839923750909846,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0060372024719952,1.850157314721176,-0.0376582645001632,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5869854708139286e-06,2.3552277173351603,-0.0098147243680428,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9900000000000002,0.20000000000000018,168.94582733154297,165.40226135253906,-0.017314492789511027,-0.015421714204422288,False,False,2.366628944834752,0.7599999999999998,STEEP_LOW_RATE,STEEP,False,False,True,True,4.839923750909841,0.0,False,False,False,False
2015-01-15,164.81658935546875,-0.0091607557421675,0.02517590226304,-0.0152849582810475,0.0085351965117077,1.77,0.16,0.03,22.39,3.54,4.53,1.77,0.16,1.61,0.9900000000000002,0.0200000000000004,0.0100000000000006,1.190298363207276e-06,1.190298363207276e-06,-0.0464740420795715,169.3621795654297,False,2.1236737270152948,0.9220473173885082,-0.2927056404250326,-0.1272100893145439,STEEP,STEEP,STEEP,STEEP,STEEP_LOW_RATE,STEEP_LOW_RATE,HOLD,False,False,False,False,True,False,False,NON_RISK,True,False,FULL_RISK,CMDTY,,,False,False,STEEP_FULL_RISK,False,False,True,-0.0003127796152299,4.438866659184641,-0.0130957157696214,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0135274082371073,4.905395375324876,0.0,0.0,0.0,0.0,0.3,0.0,0.7,0.0,-0.0091607557421675,1.8332084754764304,-0.0464740420795708,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.190298363207276e-06,2.355230520758857,-0.0098135457521301,0.0,0.0,0.0,0.0,0.0,0.0,1.0,STEEP_SLOW_GROWTH_OVERLAY,False,FULL_RISK,STEEP_STRESS,STEEP_LOW_RATE_STRESS,0.9900000000000002,0.20000000000000018,168.9186218261719,165.41753967285158,-0.026839464522862122,-0.02428407493712792,False,False,2.33392334259294,0.7599999999999998,STEEP_LOW_RATE,STEEP,False,False,True,True,4.905395375324869,0.0,False,False,False,False
