date,SPY_price,SPY_return,GOLD_return,CMDTY_FUT_return,IEF_return,DGS10,DGS1,DTB3,VIX_LEVEL,WAAA,WBAA,GS10,GS1,TERM_SPREAD_10Y_1Y,CREDIT_SPREAD_BAA_AAA,D_CREDIT_20D,D_CREDIT_15D,CASH_return,daily_rf,SPY_drawdown,SPY_MA20,SPY_CROSS_ABOVE_MA20,VIX_Z,CMDTY_FUT_price,CMDTY_RET60,CMDTY_RET20,macro_regime_raw,macro_regime_confirmed,refined_regime_raw,refined_regime_confirmed,steep_rate_regime_confirmed,final_regime_confirmed,monthly_either_state,FLAT_VIX_STRESS,FLAT_CREDIT_DD5_STRESS,STEEP_EITHER_SELL_STRESS,STEEP_CREDIT_DD5_STRESS,STEEP_CMDTY_RET60_NEG10,BACKBONE_V2_ENTRY_SIGNAL,R3_RECOVERY,full_risk_state,steep_slow_growth_overlay_state,is_stress_state,trigger_lock_full_risk_state,trigger_lock_active_locks,trigger_lock_locks_added_today,trigger_lock_locks_unlocked_today,trigger_lock_entry_signal,trigger_lock_exit_signal,final_allocation_state,trigger_lock_vix_entry_condition,trigger_lock_credit_entry_condition,trigger_lock_cmdty_entry_condition,FLAT_RATE_REFINED_L50_H30_return,FLAT_RATE_REFINED_L50_H30_nav,FLAT_RATE_REFINED_L50_H30_drawdown,FLAT_RATE_REFINED_L50_H30_turnover,FLAT_RATE_REFINED_L50_H30_transaction_cost,FLAT_RATE_REFINED_L50_H30_weight_SPY,FLAT_RATE_REFINED_L50_H30_weight_GOLD,FLAT_RATE_REFINED_L50_H30_weight_CMDTY_FUT,FLAT_RATE_REFINED_L50_H30_weight_IEF,FLAT_RATE_REFINED_L50_H30_weight_CASH,FINAL_REGIME_HEDGE_TRIGGER_LOCK_return,FINAL_REGIME_HEDGE_TRIGGER_LOCK_nav,FINAL_REGIME_HEDGE_TRIGGER_LOCK_drawdown,FINAL_REGIME_HEDGE_TRIGGER_LOCK_turnover,FINAL_REGIME_HEDGE_TRIGGER_LOCK_transaction_cost,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_SPY,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_GOLD,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_CMDTY_FUT,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_IEF,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_CASH,SPY_BUY_HOLD_return,SPY_BUY_HOLD_nav,SPY_BUY_HOLD_drawdown,SPY_BUY_HOLD_turnover,SPY_BUY_HOLD_transaction_cost,SPY_BUY_HOLD_weight_SPY,SPY_BUY_HOLD_weight_GOLD,SPY_BUY_HOLD_weight_CMDTY_FUT,SPY_BUY_HOLD_weight_IEF,SPY_BUY_HOLD_weight_CASH,SPY_CASH_TIMING_return,SPY_CASH_TIMING_nav,SPY_CASH_TIMING_drawdown,SPY_CASH_TIMING_turnover,SPY_CASH_TIMING_transaction_cost,SPY_CASH_TIMING_weight_SPY,SPY_CASH_TIMING_weight_GOLD,SPY_CASH_TIMING_weight_CMDTY_FUT,SPY_CASH_TIMING_weight_IEF,SPY_CASH_TIMING_weight_CASH,flat_refined_state,recovery_flat_low_active,final_state,allocation_cross_state,final_regime_cross_state,CREDIT_SPREAD,D_CREDIT_SPREAD_60D,SPY_MA50,SPY_MA100,SPY_vs_MA20,SPY_vs_MA50,SPY_above_MA20,SPY_above_MA50,CREDIT_SPREAD_Z_252D,CREDIT_SPREAD_Q75_252D,final_regime,base_regime,credit_lock_state_baseline,vix_lock_state,cmdty_lock_state,final_state,baseline_strategy_NAV,baseline_strategy_drawdown,credit_entry_marker,credit_unlock_marker,relock_marker,false_recovery_marker
2020-02-03,296.2027587890625,0.0074283785483773,-0.0064956888020435,-0.0177515415419832,-0.0008515823432252,1.54,1.46,1.54,17.97,2.82,3.66,1.54,1.46,0.08,0.8400000000000003,-0.0099999999999997,0.0100000000000002,6.0647170438077325e-05,6.0647170438077325e-05,-0.0235879734583364,298.985971069336,False,1.266501568149962,0.9393829069383732,-0.0946170814775152,-0.1401869197416185,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,-0.0028896011328852,7.285750218332098,-0.0523372798849129,0.1723688071539247,8.618440357696239e-05,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,-0.0028896011328852,9.596188426922115,-0.0523372798849127,0.1723688071539247,8.618440357696239e-05,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0074283785483773,3.294579811383584,-0.0235879734583362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0074283785483773,4.205678590190366,-0.0235879734583358,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,292.7084594726563,282.99688537597655,-0.009308839041240802,0.011937814584182416,False,True,-1.2443980001675765,1.04,FLAT_LOW_RATE,FLAT,False,False,False,False,9.596188426922094,-0.05233727988491288,False,False,False,False
2020-02-04,300.71728515625,0.0152413380133384,-0.0130089507052458,-0.0020953059679051,-0.0058003307785938,1.61,1.48,1.54,16.05,2.82,3.66,1.61,1.48,0.1300000000000001,0.8400000000000003,-0.0099999999999997,0.0100000000000002,6.0647170438077325e-05,6.0647170438077325e-05,-0.008706147721526,299.23362884521487,True,0.5005451563882743,0.9374146123273174,-0.0866594616454777,-0.143531539232254,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,True,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0081966376575929,7.345468872935496,-0.0445696319465206,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0081966376575929,9.674844906351586,-0.0445696319465203,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0152413380133384,3.344793615900802,-0.008706147721526,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0152413380133384,4.269778759158918,-0.0087061477215255,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,293.07054321289064,283.28614715576174,0.0049581870752988255,0.026091813457364887,True,True,-1.243705971680678,1.04,FLAT_LOW_RATE,FLAT,False,False,False,False,9.674844906351561,-0.04456963194652064,False,False,False,False
2020-02-05,304.1899719238281,0.0115480118336854,0.0012293105482077,0.0135170443477279,-0.0043312217897794,1.66,1.49,1.54,15.15,2.82,3.66,1.66,1.49,0.1699999999999999,0.8400000000000003,-0.0099999999999997,0.0100000000000002,6.0647170438077325e-05,6.0647170438077325e-05,0.0,299.6965057373047,False,0.1664532862570676,0.950085687214354,-0.0776304800521154,-0.1263574798722064,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0123481230932323,7.43617162675601,-0.032771860154784,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0123481230932323,9.794311082163146,-0.0327718601547838,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0115480118336854,3.38341933215846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0115480118336854,4.319086214796903,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,293.5111737060547,283.60072021484376,0.014993388646520112,0.03638293589622599,True,True,-1.2435206609141756,1.04,FLAT_LOW_RATE,FLAT,False,False,False,False,9.794311082163121,-0.03277186015478406,False,False,False,False
2020-02-06,305.2135009765625,0.0033647692139919,0.0053883997192825,0.0027191980503522,0.0007099665875818,1.65,1.51,1.54,14.96,2.82,3.66,1.65,1.51,0.1399999999999999,0.8400000000000003,-0.0099999999999997,0.0100000000000002,6.0647170438077325e-05,6.0647170438077325e-05,0.0,300.1319610595703,False,0.111951717953475,0.9526691583626948,-0.0752328614321218,-0.1022489608951853,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0031024430445745,7.459241925697701,-0.0297710899398044,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0031024430445745,9.824697374456402,-0.0297710899398042,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0033647692139919,3.394803757365332,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0033647692139919,4.333618943125029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,293.95972534179685,283.9273391723633,0.01693101893931126,0.03828339280723059,True,True,-1.2438826251943096,1.04,FLAT_LOW_RATE,FLAT,False,False,False,False,9.824697374456377,-0.029771089939804485,False,False,False,False
2020-02-07,303.5867919921875,-0.0053297412439822,0.0026458575698606,-0.0055527488282022,0.0047911196610082,1.59,1.49,1.53,15.47,2.84,3.68,1.59,1.49,0.1,0.8400000000000003,-0.0099999999999997,0.0100000000000002,6.0256320597362745e-05,6.0256320597362745e-05,-0.0053297412439822,300.3855575561523,False,0.3475739222461338,0.947379225809932,-0.0775036094311437,-0.107026955258768,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,-0.00542035979793,7.418810150640615,-0.0350300797186842,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,-0.00542035979793,9.77144397978107,-0.0350300797186839,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,-0.0053297412439822,3.3767103317644764,-0.0053297412439822,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.0053297412439822,4.310521875508153,-0.0053297412439823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,294.3319091796875,284.24610931396484,0.010657085054552873,0.0314436951069752,True,True,-1.2448380030574004,1.0325000000000002,FLAT_LOW_RATE,FLAT,False,False,False,False,9.771443979781045,-0.035030079718684326,False,False,False,False
2020-02-10,305.85333251953125,0.0074658733091461,0.0025712490701368,-0.0097389952444727,0.0019424647522539,1.56,1.45,1.55,15.04,2.84,3.68,1.56,1.45,0.1100000000000001,0.8400000000000003,0.0100000000000002,0.0100000000000006,6.10379819414586e-05,6.10379819414586e-05,0.0,300.79543151855466,False,0.1665401725057976,0.9381527040350568,-0.0824208904009473,-0.1136681148919385,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0004747195569342,7.4223320049083075,-0.0345719896256733,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0004747195569342,9.77608267533776,-0.0345719896256729,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0074658733091461,3.401920423303115,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0074658733091461,4.342703685727,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,294.73651000976565,284.5806658935547,0.016815085839043453,0.03771783315679911,True,True,-1.2430913309870866,1.0300000000000002,FLAT_LOW_RATE,FLAT,False,False,False,False,9.776082675337737,-0.034571989625673316,False,False,False,False
2020-02-11,306.3832397460937,0.0017325533849745,-0.0034419552752806,0.0049830172433527,-0.0023792411483676,1.59,1.48,1.54,15.18,2.84,3.68,1.59,1.48,0.1100000000000001,0.8400000000000003,0.0100000000000002,0.0100000000000006,6.0647170438077325e-05,6.0647170438077325e-05,0.0,301.1294509887695,False,0.2381370903320034,0.9428275351361616,-0.0782922135729838,-0.1002582350349388,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0030533709506018,7.444995137837816,-0.031624179783899,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0030533709506018,9.80593268218932,-0.0316241797838988,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0017325533849745,3.407814432047923,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0017325533849745,4.350227651697648,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,295.1262463378906,284.9188919067383,0.017446944296126254,0.03814297626147045,True,True,-1.2417728645978592,1.0300000000000002,FLAT_LOW_RATE,FLAT,False,False,False,False,9.805932682189294,-0.03162417978389909,False,False,False,False
2020-02-12,308.357177734375,0.0064427087784471,-0.0008127480224853,0.0180062465466637,-0.0025617094712423,1.62,1.49,1.55,13.74,2.84,3.68,1.62,1.49,0.1300000000000001,0.8400000000000003,0.0100000000000002,0.0100000000000006,6.10379819414586e-05,6.10379819414586e-05,0.0,301.5850067138672,False,-0.3918388730304981,0.9598043201848064,-0.0596601172372253,-0.0879120996735316,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0111415223849077,7.527943717821566,-0.0208349989059578,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0111415223849077,9.915185700672833,-0.0208349989059575,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0064427087784471,3.4297699880045966,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0064427087784471,4.378254901577484,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.04999999999999982,295.57674194335937,285.2770388793945,0.022455264253017138,0.04323897647354369,True,True,-1.2409129320665415,1.0300000000000002,FLAT_LOW_RATE,FLAT,False,False,False,False,9.915185700672804,-0.02083499890595797,False,False,False,False
2020-02-13,308.0282592773437,-0.001066680073569,0.0056934501484664,0.0030760873383188,0.0008853754517998,1.61,1.48,1.56,14.15,2.84,3.68,1.61,1.48,0.1300000000000001,0.8400000000000003,0.0100000000000002,0.0100000000000006,6.142875511461199e-05,6.142875511461199e-05,-0.0010666800735692,301.9903076171875,False,-0.2016124734726144,0.9627567621013908,-0.0648376200504188,-0.0796189735139855,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.0006167227287191,7.532586371812864,-0.020231125594617,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0006167227287191,9.921300621053906,-0.0202311255946167,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,-0.001066680073569,3.426111520701467,-0.001066680073569,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.001066680073569,4.373584704316965,-0.0010666800735691,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8400000000000003,-0.019999999999999574,296.0692199707031,285.64477386474607,0.019993859100306155,0.0403927139329916,True,True,-1.2405457888678466,1.0300000000000002,FLAT_LOW_RATE,FLAT,False,False,False,False,9.921300621053879,-0.02023112559461715,False,False,False,False
2020-02-14,308.5217590332031,0.0016021249382025,0.0041784276640046,0.0070278560843068,0.0024773140073874,1.59,1.49,1.55,13.68,2.81,3.65,1.59,1.49,0.1,0.8399999999999999,0.0099999999999997,0.0199999999999995,6.10379819414586e-05,6.10379819414586e-05,0.0,302.29553985595703,False,-0.3965764261533093,0.9695228780696326,-0.050596315185231,-0.07400014127844,FLAT,FLAT,FLAT_LOW_RATE,FLAT_LOW_RATE,,FLAT_LOW_RATE,HOLD,False,False,False,False,False,False,False,NON_RISK,False,False,NON_RISK,,,,False,False,FLAT_LOW_RATE_NORMAL,False,False,False,0.003806856729228,7.561261848930891,-0.0165012858619988,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.003806856729228,9.95906959108586,-0.0165012858619983,0.0,0.0,0.59365259139156,0.0,0.4063474086084399,0.0,0.0,0.0016021249382025,3.431600579409846,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0016021249382025,4.380591733441093,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,FLAT_LOW_RATE_NORMAL,False,NON_RISK,FLAT_LOW_RATE_NORMAL,FLAT_LOW_RATE_NORMAL,0.8399999999999999,-0.020000000000000018,296.6095812988281,286.01808013916013,0.020596463911485063,0.04016113600313442,True,True,-1.2407102374144494,1.0299999999999998,FLAT_LOW_RATE,FLAT,False,False,False,False,9.959069591085832,-0.016501285861998838,False,False,False,False
