credit_variant,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,time_in_credit_watch,number_credit_entries,number_credit_unlocks,number_relocks,false_recovery_count,missed_rebound_count
LEVEL_OR_PERCENTILE_LOCK,2008_GFC,0.5697317364940935,-0.10238566543315386,1.7240687010208935,243,0,1,1,0,1,1
LEVEL_OR_PERCENTILE_LOCK,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,0,0
LEVEL_OR_PERCENTILE_LOCK,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0,0
LEVEL_OR_PERCENTILE_LOCK,2018Q4,0.07999030245231786,-0.043022277196462455,2.9945947728172393,67,0,2,2,0,1,2
LEVEL_OR_PERCENTILE_LOCK,COVID_2020,0.2314756831529674,-0.15383533620823908,2.1196963393624415,30,0,3,3,0,3,1
LEVEL_OR_PERCENTILE_LOCK,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,226,0,1,1,0,0,1
LEVEL_OR_PERCENTILE_LOCK,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,0,1,1,0,0,0
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2008_GFC,0.6146657190416374,-0.12389705845112786,1.8339731579633158,110,374,1,1,0,1,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,121,0,0,0,0,0
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,208,0,0,0,0,0
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2018Q4,0.11483390720037923,-0.04569042248481847,4.407689997252368,46,84,3,2,0,2,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,COVID_2020,0.198936607401218,-0.15383533620823908,2.0602089298189186,36,83,5,5,0,5,1
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2022_RATE_WAR,0.009852530367593815,-0.20686194084140708,0.047528039832793446,92,259,3,3,0,3,2
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,2025_PULLBACK,0.5327178677557505,-0.08797658983502699,2.350991056695875,43,123,5,5,0,3,1
