credit_variant,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,time_in_credit_watch,number_credit_entries,number_credit_unlocks,number_relocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count
BASELINE_15D_ABS,0.11192003535022987,0.8569113949886695,1.0037369124925668,-0.3689055897319068,0.3033839509766308,8.466177856222805,0.13060864402638703,149.0,0.0745,212,0,11,11,0,19.272727272727273,7,3
SHOCK_10D_20D,0.11864094213201759,0.9518881684672351,1.095144846495656,-0.33465849115821245,0.3545134675095668,9.558364540892146,0.12463747955083583,145.0,0.07250000000000001,342,0,10,10,0,34.2,6,5
SHOCK_OR_Z,0.11903219692549927,0.9642061432000684,1.1104809568975846,-0.3452074063614159,0.3448135663719745,9.625903816120562,0.12345098376001597,153.0,0.07650000000000001,426,0,14,14,0,30.428571428571427,10,6
LEVEL_CONFIRMED_LOCK,0.12427400572449776,1.0857176891960885,1.1912238088320375,-0.1878344094031813,0.6616146962601889,10.57565062331538,0.11446254119384895,137.0,0.0685,728,0,10,10,0,72.8,7,6
LEVEL_OR_PERCENTILE_LOCK,0.13108972965216115,1.1302067465407535,1.2480250369868247,-0.1878344094031813,0.6979005075197948,11.94425418374468,0.11598738908026351,137.0,0.0685,745,0,10,10,0,74.5,7,6
PEAK_RELIEF_UNLOCK,0.12085517057309625,0.9454925699183792,1.0957867927744818,-0.332639004927602,0.3633223067132493,9.946613475830082,0.12782244347359517,145.0,0.07250000000000001,278,0,11,11,0,25.272727272727273,6,4
LEVEL_LOCK_FAST_RELIEF,0.12132850511517668,0.9731528092719358,1.1350250832745599,-0.22810794704557757,0.5318907415835643,10.031531422458555,0.12467569734084064,169.0,0.0845,341,0,17,17,0,20.058823529411764,15,5
WATCH_LOCK_STATE_MACHINE,0.12219516591911495,0.9916992622694994,1.1510774497908436,-0.22810794704557924,0.5356900866531344,10.18880218839738,0.12321796593805247,185.0,0.0925,402,2486,23,23,0,17.47826086956522,20,6
WATCH_AS_PARTIAL_LOCK_DIAGNOSTIC,0.07099907800117755,0.803785901125486,0.7446132651540657,-0.1524870286347716,0.4656073282877757,3.9792488829083,0.08833083275255567,489.0,0.24450000000000005,402,2486,23,23,0,17.47826086956522,23,6
FAST_RELOCK_AFTER_UNLOCK,0.12351023674998407,1.0256467050848221,1.174719025950357,-0.2068242407475006,0.5971748587283362,10.431927534870681,0.1204218140005331,181.0,0.0905,408,0,20,20,20,20.4,15,4
LEVEL_LOCK_FAST_RELIEF_PLUS_RELOCK,0.12272366010283564,1.0167472766761876,1.1649608555899755,-0.18783440940318175,0.6533609070498497,10.285853824612037,0.12070222651987542,197.0,0.0985,425,0,25,25,25,17.0,21,5
