strategy_id,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
BASELINE_ABS,2008_GFC,0.6872160720059863,-0.12389705845112686,1.8464926542189803,27,1,1,1,0,0.5491217052028362,0.3632622870898713,0.732183908045977,0.1,0.4517866708594859
BASELINE_ABS,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
BASELINE_ABS,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
BASELINE_ABS,2018Q4,0.0971443216794512,-0.04569042248481847,3.2972729605866995,32,2,1,1,1,0.4950861212123282,0.8429049642268531,0.9000000000000001,0.1,0.4296440955640339
BASELINE_ABS,COVID_2020,0.2622879989779916,-0.15383533620823908,2.432267166780271,27,2,2,1,1,0.5171187439104504,1.0,,,0.4828812560895497
BASELINE_ABS,2022_RATE_WAR,-0.005608412135206131,-0.21900496327357288,-0.02544799502251154,70,3,3,3,2,0.5050875182111231,0.686701986425053,0.7444444444444444,0.1,0.36819365393364867
BASELINE_ABS,2025_PULLBACK,0.49337599047685354,-0.08797658983502676,2.1664077785536016,10,1,1,0,0,,0.45266875203223383,0.9,0.1,0.5473312479677661
CW15_ABS05_ZW126_UZ0P5,2008_GFC,0.5642551693501958,-0.15007092107743147,1.699634236165773,120,1,1,1,1,0.5552351818055431,0.33009608088443776,0.7382022471910112,0.09999999999999999,0.4436334466700454
CW15_ABS05_ZW126_UZ0P5,2011_EURO_DEBT,0.019120574802459656,-0.12478603999535476,0.16368717381065512,0,0,0,0,0,1.0,0.30000000000000004,0.7,,
CW15_ABS05_ZW126_UZ0P5,2015_2016,0.147791812599936,-0.06357779582701362,1.6182198939594874,0,0,0,0,0,0.8328537400730626,0.3,0.7,,0.41203496633152
CW15_ABS05_ZW126_UZ0P5,2018Q4,0.09533271870402582,-0.04569042248481847,3.704550780779263,50,3,2,2,2,0.49508612121232815,0.8999945323820354,0.9000000000000001,0.09999999999999999,0.3946877551265817
CW15_ABS05_ZW126_UZ0P5,COVID_2020,0.10112286366197765,-0.15383533620823908,1.054343965817744,58,3,2,2,2,0.5411237107159279,1.0,,,0.458876289284072
CW15_ABS05_ZW126_UZ0P5,2022_RATE_WAR,0.057994523068183756,-0.16905122540885398,0.283471362340152,127,1,1,1,1,0.4893162920482251,0.7204343140383593,0.8034482758620689,0.1,0.39265234628180323
