strategy_id,credit_change_window,credit_abs_threshold,credit_level_z_window,unlock_z_threshold,CAGR,Sharpe,Sortino,MaxDD,Calmar,Final_Equity,annualized_vol,turnover,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,missed_rebound_count,relock_within_21d_count,relock_within_63d_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT,rank_sharpe,rank_calmar,rank_maxdd,rank_final_equity,rank_false_recovery,rank_missed_rebound,composite_score,rank_composite,materially_better
BASELINE_ABS,15,0.1,252,,0.20931621042599757,1.5122993275509682,1.997268456533624,-0.21900496327357288,0.9557601220412869,45.91280448972686,0.13840924651138092,16.11300970833733,0.008056504854168665,203,11,11,18.454545454545453,7,4,3,4,0.7135866877979486,0.47438726864713854,0.7346883468834688,0.10000000000000002,0.4312775406311398,7.0,68.0,77.0,1.0,45.0,1.0,0.36250000000000004,23.0,False
CW15_ABS05_ZW126_UZ0P5,15,0.05,126,0.5,0.1878167189667168,1.4251702237892174,1.9165153005834414,-0.16905122540885387,1.11100477688037,31.994396153011035,0.1317854638215448,15.190261193687945,0.007595130596843972,600,18,18,35.294117647058826,13,9,7,10,0.7276000249378343,0.505613936741082,0.7471910112359551,0.1,0.422509504708534,60.0,39.0,25.0,62.0,73.0,65.0,0.676219512195122,63.0,False
CW15_ABS05_ZW126_UZ1P0,15,0.05,126,1.0,0.19631636172159195,1.4847015732305628,2.00136556827267,-0.16905122540885476,1.1612832811285203,36.93379103940829,0.13222614245260553,15.21709484818809,0.007608547424094045,554,18,18,32.588235294117645,13,8,7,9,0.7258236093190429,0.5018871650074385,0.7469783352337516,0.1,0.42376670353525103,17.0,19.0,49.0,26.0,73.0,59.0,0.4878048780487805,37.0,False
CW15_ABS05_ZW126_UZ1P5,15,0.05,126,1.5,0.19994895311730043,1.4866511934860769,1.9607829688322242,-0.21176823605953787,0.9441876498470031,39.258718112763994,0.1344962113462784,16.08128470901231,0.008040642354506154,444,20,20,23.36842105263158,14,5,8,11,0.7206626294914261,0.48763199949572034,0.7416075650118205,0.1,0.4278779270847277,16.0,72.0,73.0,11.0,77.0,11.0,0.47560975609756106,35.0,False
CW15_ABS05_ZW252_UZ0P5,15,0.05,252,0.5,0.18256801122747923,1.3882060355284314,1.8664869659730674,-0.16905122540885364,1.0799567455718524,29.264983808238863,0.13151362733989505,15.100248807851324,0.007550124403925662,989,17,17,61.8125,11,10,8,9,0.7343244397324157,0.5116322588126624,0.7458376156217883,0.09999999999999999,0.422099515113621,77.0,53.0,14.0,78.0,66.0,81.0,0.7439024390243901,73.0,False
CW15_ABS05_ZW252_UZ1P0,15,0.05,252,1.0,0.18914364648160475,1.436714565036868,1.9352247252338788,-0.1690512254088543,1.118854039798626,32.7217903891756,0.1316501211058239,15.165067484948452,0.007582533742474225,862,18,18,50.705882352941174,12,9,7,10,0.7318939538809348,0.5037600012924781,0.7407643312101911,0.09999999999999999,0.4233671730881011,54.0,35.0,40.0,58.0,67.0,65.0,0.6826219512195122,66.0,False
CW15_ABS05_ZW252_UZ1P5,15,0.05,252,1.5,0.1968167568577035,1.484642526843247,2.0055338245494685,-0.1690512254088541,1.1642433018849634,37.24609662842345,0.13256844883474364,15.329139608655318,0.007664569804327658,578,18,18,34.0,13,8,7,10,0.7263320989939356,0.5023493137464569,0.7426076833527359,0.09999999999999998,0.42483619622660734,18.0,14.0,32.0,20.0,73.0,59.0,0.4234756097560976,31.0,False
CW15_ABS05_ZW504_UZ0P5,15,0.05,504,0.5,0.18978138712667159,1.4356866129000305,1.9438254719609185,-0.19659593409983311,0.9653372944645893,33.07695251878057,0.13218858866652008,15.517335685272403,0.007758667842636202,1190,17,17,70.0,14,9,7,10,0.7336813659891912,0.508431533352775,0.740595111583422,0.1,0.42336742785935505,55.0,67.0,65.0,55.0,77.0,65.0,0.7664634146341464,76.0,False
CW15_ABS05_ZW504_UZ1P0,15,0.05,504,1.0,0.18452106955654424,1.3907640984007608,1.8678480477611146,-0.23789693975658477,0.7756344816597703,30.25368229671698,0.1326760374162124,15.654549048211145,0.007827274524105574,1017,20,20,53.526315789473685,14,9,9,12,0.7317152287107926,0.5034484357796244,0.7390557939914164,0.09999999999999999,0.4238615415937102,76.0,82.0,81.0,75.0,77.0,65.0,0.9408536585365854,82.0,False
CW15_ABS05_ZW504_UZ1P5,15,0.05,504,1.5,0.19504700685551168,1.4697930092639413,1.9684476570321445,-0.2378969397565851,0.8198802685527723,36.15268867739377,0.13270372469194788,15.8485747006809,0.00792428735034045,772,21,21,38.6,15,9,8,12,0.7263411832628283,0.4854797625926172,0.736423118865867,0.09999999999999999,0.42561492875401136,28.0,81.0,82.0,32.0,82.0,65.0,0.6689024390243902,62.0,False
