date,spy_price,SPY_return,GOLD_return,IEF_return,DBC_return,DBB_return,DBA_return,DGS10,DGS1,DTB3,VIX_LEVEL,WAAA,WBAA,oil_price,oil_ma_252d,oil_price_to_ma,oil_level_regime,oil_level_reason,GS10,GS1,TERM_SPREAD_10Y_1Y,CREDIT_SPREAD_BAA_AAA,D_CREDIT_SPREAD_20D,D_CREDIT_SPREAD_15D,CASH_return,daily_rf,spy_drawdown_from_previous_high,SPY_MA20,SPY_MA50,SPY_CROSS_ABOVE_MA20,SPY_above_MA20,SPY_above_MA50,VIX_ZSCORE_120D,CREDIT_LEVEL_Z_252D,DBC_price,DBC_RET60,DBC_RET20,macro_regime_raw,macro_regime_confirmed,monthly_either_state,refined_regime_confirmed,final_regime_confirmed,flat_refined_state,steep_rate_regime_confirmed,trigger_lock_full_risk_state,trigger_lock_active_locks,trigger_lock_anchor_state,trigger_lock_locks_added_today,trigger_lock_locks_unlocked_today,trigger_lock_entry_signal,trigger_lock_exit_signal,final_allocation_state,trigger_lock_vix_entry_condition,trigger_lock_credit_entry_condition,trigger_lock_cmdty_entry_condition,REGIME_ONLY_REFERENCE_return,REGIME_ONLY_REFERENCE_nav,REGIME_ONLY_REFERENCE_drawdown,REGIME_ONLY_REFERENCE_turnover,REGIME_ONLY_REFERENCE_transaction_cost,REGIME_ONLY_REFERENCE_weight_SPY,REGIME_ONLY_REFERENCE_weight_GOLD,REGIME_ONLY_REFERENCE_weight_IEF,REGIME_ONLY_REFERENCE_weight_DBC,REGIME_ONLY_REFERENCE_weight_DBB,REGIME_ONLY_REFERENCE_weight_DBA,REGIME_ONLY_REFERENCE_weight_CASH,FINAL_REGIME_HEDGE_TRIGGER_LOCK_return,FINAL_REGIME_HEDGE_TRIGGER_LOCK_nav,FINAL_REGIME_HEDGE_TRIGGER_LOCK_drawdown,FINAL_REGIME_HEDGE_TRIGGER_LOCK_turnover,FINAL_REGIME_HEDGE_TRIGGER_LOCK_transaction_cost,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_SPY,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_GOLD,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_IEF,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_DBC,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_DBB,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_DBA,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_CASH,SPY_BUY_HOLD_return,SPY_BUY_HOLD_nav,SPY_BUY_HOLD_drawdown,SPY_BUY_HOLD_turnover,SPY_BUY_HOLD_transaction_cost,SPY_BUY_HOLD_weight_SPY,SPY_BUY_HOLD_weight_GOLD,SPY_BUY_HOLD_weight_IEF,SPY_BUY_HOLD_weight_DBC,SPY_BUY_HOLD_weight_DBB,SPY_BUY_HOLD_weight_DBA,SPY_BUY_HOLD_weight_CASH,SPY_CASH_TIMING_return,SPY_CASH_TIMING_nav,SPY_CASH_TIMING_drawdown,SPY_CASH_TIMING_turnover,SPY_CASH_TIMING_transaction_cost,SPY_CASH_TIMING_weight_SPY,SPY_CASH_TIMING_weight_GOLD,SPY_CASH_TIMING_weight_IEF,SPY_CASH_TIMING_weight_DBC,SPY_CASH_TIMING_weight_DBB,SPY_CASH_TIMING_weight_DBA,SPY_CASH_TIMING_weight_CASH,recovery_flat_low_active,full_risk_state,final_state
2007-01-08,98.99800872802734,0.0046248365996879,0.0051520921177459,0.0007254972453165,0.0051947708670727,-0.0134963392547234,-0.0015988270440912,4.66,5.01,4.95,12.0,5.29,6.25,56.09000015258789,66.11765867566305,-0.151663847812055,OIL_LEVEL_MID,STAY_MID,4.66,5.01,-0.34999999999999964,0.96,0.07000000000000028,0.0600000000000005,0.00019174004754551888,0.00019174004754551888,-0.009262074398644904,,,False,False,False,-0.01663113183399227,1.5253594728560798,1.0152164397985133,0.05082306943411696,-0.02892318713959552,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,0.0043884643587169,1.0043884643587169,0.0,1.0,0.0005,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0043884643587169,1.0043884643587169,0.0,1.0,0.0005,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0041248365996879,1.004124836599688,0.0,1.0,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041248365996879,1.004124836599688,0.0,1.0,0.0005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-09,98.9138412475586,-0.0008501936710664,0.0061177072533933,-0.0002418828006732,-0.0086132752291573,-0.0051303815771319,-0.0128103646293803,4.66,5.02,4.95,11.91,5.29,6.25,55.63999938964844,66.08365074036614,-0.1580368401822928,OIL_LEVEL_MID,STAY_MID,4.66,5.02,-0.35999999999999943,0.96,0.0699999999999994,0.0600000000000005,0.00019174004754551888,0.00019174004754551888,-0.010104393512676668,,,False,False,False,-0.05683197211032065,1.520100676933691,1.0064721011853635,0.030314279731399996,-0.02961643611639042,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,0.00263375679116345,1.0070337792976878,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.00263375679116345,1.0070337792976878,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0008501936710664,1.0032711360186504,-0.0008501936710664237,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008501936710664,1.0032711360186504,-0.0008501936710664237,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-10,99.24340057373048,0.0033317817002687,-0.0042727744955288,-0.0016918584148847,-0.0147697024921743,0.0408250390552473,0.0028388636584719,4.69,5.02,4.96,11.47,5.32,6.28,54.02000045776367,66.04603169456361,-0.18208559891100662,OIL_LEVEL_MID,STAY_MID,4.69,5.02,-0.3299999999999992,0.96,0.0699999999999994,0.05999999999999961,0.0001921182111008779,0.0001921182111008779,-0.006806277445805975,,,False,False,False,-0.3353678118592318,1.520100676933691,0.9916068076841821,-0.006340083294304355,-0.04546972567575447,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,-0.00047049639763005013,1.0065599735322364,-0.00047049639763008244,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.00047049639763005013,1.0065599735322364,-0.00047049639763008244,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0033317817002687,1.006613816430045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033317817002687,1.006613816430045,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-11,99.67815399169922,0.0043806783670794,0.0006601900549034,-0.0026631510770802,-0.0013226907842185,0.0132122483471466,0.0149614871719732,4.74,5.05,4.98,10.87,5.37,6.33,51.880001068115234,66.00043646494548,-0.2139445760230687,OIL_LEVEL_MID,STAY_MID,4.74,5.05,-0.3099999999999996,0.96,0.07000000000000028,0.0600000000000005,0.00019287443056437148,0.00019287443056437148,-0.0024554151910937128,,,False,False,False,-0.7571660050753395,1.5201006769336936,0.9902952184980899,-0.0162089311271415,-0.04521327288525434,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,0.0025204342109914,1.0090969417249416,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0025204342109914,1.0090969417249416,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0043806783670794,1.0110234677996834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043806783670794,1.0110234677996834,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-12,100.43543243408205,0.0075972358240692,0.025399918748145,-0.0020623504642858,0.0233996266593892,-0.0171148611692321,0.0796811733399993,4.77,5.06,4.96,10.15,5.41,6.36,52.9900016784668,65.95698409610324,-0.19659756423584773,OIL_LEVEL_MID,STAY_MID,4.77,5.06,-0.29000000000000004,0.9500000000000002,0.0600000000000005,0.05000000000000071,0.0001921182111008779,0.0001921182111008779,0.0,,,False,False,False,-1.275483707729184,1.3011735679859906,1.0134677568935235,0.0059853634651554355,-0.023260814104591132,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,0.0164985772861071,1.0257456056071648,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0164985772861071,1.0257456056071648,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0075972358240692,1.018704451508226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0075972358240692,1.018704451508226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-16,100.23908233642578,-0.0019549883233204,-0.0032169366918541,0.0019440669489758,-0.022864603474374,-0.0186568616027027,-0.040590353755109,4.75,5.06,4.98,10.74,5.39,6.34,51.209999084472656,65.90646822490389,-0.22298978440598516,OIL_LEVEL_MID,STAY_MID,4.75,5.06,-0.3099999999999996,0.9500000000000002,0.05000000000000071,0.04999999999999982,0.00019287443056437148,0.00019287443056437148,-0.001954988323320417,,,False,False,False,-0.8253363201906174,1.3011735679859906,0.9902952184980898,-0.0010359521695080254,-0.056490249428031825,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,-0.00258596250758725,1.0230930659287423,-0.002585962507587247,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.00258596250758725,1.0230930659287423,-0.002585962507587247,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0019549883233204,1.016712896200613,-0.001954988323320417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019549883233204,1.016712896200613,-0.001954988323320417,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-17,100.28113555908205,0.0004195292063342,0.0108116533120461,-0.0019402948858171,0.0088298247804099,-0.0059143992357372,-0.0050000013230783,4.79,5.08,4.99,10.59,5.43,6.37,52.2400016784668,65.86011903248136,-0.20680371602877456,OIL_LEVEL_MID,STAY_MID,4.79,5.08,-0.29000000000000004,0.9400000000000004,0.040000000000000924,0.040000000000000924,0.0001932524864862728,0.0001932524864862728,-0.0015362792916858714,,,False,False,False,-0.9282785667373209,1.0837277160258745,0.9990393517583057,-0.008743063136626095,-0.05263505849733152,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,0.00561559125919015,1.0288383384071098,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.00561559125919015,1.0288383384071098,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0004195292063342,1.0171394369550257,-0.0015362792916857604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004195292063342,1.0171394369550257,-0.0015362792916857604,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-18,99.94452667236328,-0.0033566521244711,-0.0060664283495831,0.0013370193957562,-0.0105032140887527,-0.0101998162351829,0.0050251269645498,4.75,5.07,4.99,10.85,5.4,6.33,50.47999954223633,65.7973015800355,-0.23279529205566707,OIL_LEVEL_MID,STAY_MID,4.75,5.07,-0.3200000000000003,0.9299999999999997,0.02999999999999936,0.03000000000000025,0.0001932524864862728,0.0001932524864862728,-0.004887774661008759,,,False,False,False,-0.7180131235073502,0.8649412855344483,0.9885462275636996,-0.0052880229346309315,-0.04572955709608595,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,-0.0047115402370270995,1.0239909251783086,-0.004711540237027134,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0047115402370270995,1.0239909251783086,-0.004711540237027134,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0033566521244711,1.0137252537030872,-0.004887774661008759,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0033566521244711,1.0137252537030872,-0.004887774661008759,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-19,100.14092254638672,0.0019650488182034,0.0118856681403227,-0.0015793929945173,0.0150377376794521,0.0133103204507585,-0.0057693272861008,4.78,5.09,5.01,10.4,5.41,6.35,51.9900016784668,65.74277776385111,-0.20919067543486614,OIL_LEVEL_MID,STAY_MID,4.78,5.09,-0.3099999999999996,0.9399999999999995,0.040000000000000036,0.03999999999999915,0.00019400849074457938,0.00019400849074457938,-0.002932330558626517,,,False,False,False,-1.0612599251286656,1.0896252373657158,1.0034117264178146,0.007575248082862807,-0.04272424747300141,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,0.00692535847926305,1.0310824294146805,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.00692535847926305,1.0310824294146805,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0019650488182034,1.0157172733148594,-0.002932330558626628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019650488182034,1.0157172733148594,-0.002932330558626628,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
2007-01-22,99.83242797851562,-0.0030806044125286,-0.0044444250682044,0.0018247698242297,0.0008712150902558,0.0139830075495444,0.0096712243282766,4.76,5.09,5.0,10.77,5.4,6.33,51.130001068115234,65.68047617352198,-0.2215342511672066,OIL_LEVEL_MID,STAY_MID,4.76,5.09,-0.33000000000000007,0.9299999999999997,0.03000000000000025,0.03000000000000025,0.00019363050654397362,0.00019363050654397362,-0.006003901620697305,,,False,False,False,-0.7571959566881701,0.8683867251706492,1.0042859138556095,0.001389421169555316,-0.0438212417829863,INVERTED,INVERTED,HOLD,INVERTED,INVERTED,INVERTED_NORMAL,,NON_RISK,,,,,False,False,INVERTED_NORMAL,False,False,False,-0.0037625147403664997,1.027202966575475,-0.003762514740366485,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0037625147403664997,1.027202966575475,-0.003762514740366485,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,-0.0030806044125286,1.0125882502008041,-0.006003901620697305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0030806044125286,1.0125882502008041,-0.006003901620697305,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,NON_RISK,NON_RISK
