date,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_SPY,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_GOLD,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_IEF,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_DBC,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_DBB,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_DBA,FINAL_REGIME_HEDGE_TRIGGER_LOCK_weight_CASH
2007-01-08,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-09,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-10,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-11,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-12,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-16,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-17,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-18,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-19,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-22,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-23,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-24,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-25,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-26,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-29,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-30,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-01-31,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-01,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-02,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-05,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-06,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-07,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-08,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-09,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-12,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-13,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-14,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-15,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-16,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-20,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-21,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-22,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-23,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-26,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-27,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-02-28,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-01,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-02,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-05,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-06,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-07,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-08,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-09,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-12,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-13,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-14,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-15,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-16,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-19,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-20,0.1,0.0,0.0,0.0,0.0,0.0,0.9
2007-03-21,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-22,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-23,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-26,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-27,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-28,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-29,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-03-30,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-02,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-03,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-04,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-05,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-09,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-10,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-11,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-12,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-13,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-16,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-17,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-18,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-19,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-20,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-23,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-24,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-25,0.5,0.5,0.0,0.0,0.0,0.0,0.0
2007-04-26,0.5,0.5,0.0,0.0,0.0,0.0,0.0
