date,GS10,final_regime_confirmed,hmm_state_name
2006-04-03,4.88,FLAT_HIGH_RATE,HIGH
2006-04-04,4.87,FLAT_HIGH_RATE,HIGH
2006-04-05,4.84,FLAT_HIGH_RATE,HIGH
2006-04-06,4.9,FLAT_HIGH_RATE,HIGH
2006-04-07,4.97,FLAT_HIGH_RATE,HIGH
2006-04-10,4.97,FLAT_HIGH_RATE,HIGH
2006-04-11,4.93,FLAT_HIGH_RATE,HIGH
2006-04-12,4.98,FLAT_HIGH_RATE,HIGH
2006-04-13,5.05,FLAT_HIGH_RATE,HIGH
2006-04-17,5.01,FLAT_HIGH_RATE,HIGH
2006-04-18,4.99,FLAT_HIGH_RATE,HIGH
2006-04-19,5.04,FLAT_HIGH_RATE,HIGH
2006-04-20,5.04,FLAT_HIGH_RATE,HIGH
2006-04-21,5.01,FLAT_HIGH_RATE,HIGH
2006-04-24,4.99,FLAT_HIGH_RATE,HIGH
2006-04-25,5.07,FLAT_HIGH_RATE,HIGH
2006-04-26,5.12,FLAT_HIGH_RATE,HIGH
2006-04-27,5.09,FLAT_HIGH_RATE,HIGH
2006-04-28,5.07,FLAT_HIGH_RATE,HIGH
2006-05-01,5.14,FLAT_HIGH_RATE,HIGH
2006-05-02,5.12,FLAT_HIGH_RATE,HIGH
2006-05-03,5.15,FLAT_HIGH_RATE,HIGH
2006-05-04,5.16,FLAT_HIGH_RATE,HIGH
2006-05-05,5.12,FLAT_HIGH_RATE,HIGH
2006-05-08,5.12,FLAT_HIGH_RATE,HIGH
2006-05-09,5.13,FLAT_HIGH_RATE,HIGH
2006-05-10,5.13,FLAT_HIGH_RATE,HIGH
2006-05-11,5.14,FLAT_HIGH_RATE,HIGH
2006-05-12,5.19,FLAT_HIGH_RATE,HIGH
2006-05-15,5.15,FLAT_HIGH_RATE,HIGH
2006-05-16,5.1,FLAT_HIGH_RATE,HIGH
2006-05-17,5.16,FLAT_HIGH_RATE,HIGH
2006-05-18,5.08,FLAT_HIGH_RATE,HIGH
2006-05-19,5.05,FLAT_HIGH_RATE,HIGH
2006-05-22,5.04,FLAT_HIGH_RATE,HIGH
2006-05-23,5.07,FLAT_HIGH_RATE,HIGH
2006-05-24,5.03,FLAT_HIGH_RATE,HIGH
2006-05-25,5.07,FLAT_HIGH_RATE,HIGH
2006-05-26,5.06,FLAT_HIGH_RATE,HIGH
2006-05-30,5.09,FLAT_HIGH_RATE,HIGH
2006-05-31,5.12,FLAT_HIGH_RATE,HIGH
2006-06-01,5.11,FLAT_HIGH_RATE,HIGH
2006-06-02,5.0,FLAT_HIGH_RATE,HIGH
2006-06-05,5.02,FLAT_HIGH_RATE,HIGH
2006-06-06,5.01,FLAT_HIGH_RATE,HIGH
2006-06-07,5.02,FLAT_HIGH_RATE,HIGH
2007-06-08,5.12,FLAT_HIGH_RATE,HIGH
2007-06-11,5.14,FLAT_HIGH_RATE,HIGH
2007-06-12,5.26,FLAT_HIGH_RATE,HIGH
2007-06-13,5.2,FLAT_HIGH_RATE,HIGH
2007-06-14,5.23,FLAT_HIGH_RATE,HIGH
2007-06-15,5.16,FLAT_HIGH_RATE,HIGH
2007-06-18,5.15,FLAT_HIGH_RATE,HIGH
2007-06-19,5.09,FLAT_HIGH_RATE,HIGH
2007-06-20,5.14,FLAT_HIGH_RATE,HIGH
2007-06-21,5.16,FLAT_HIGH_RATE,HIGH
2007-06-22,5.14,FLAT_HIGH_RATE,HIGH
2007-06-25,5.09,FLAT_HIGH_RATE,HIGH
2007-06-26,5.1,FLAT_HIGH_RATE,HIGH
2007-06-27,5.09,FLAT_HIGH_RATE,HIGH
2007-06-28,5.12,FLAT_HIGH_RATE,HIGH
2007-06-29,5.03,FLAT_HIGH_RATE,HIGH
2007-07-02,5.0,FLAT_HIGH_RATE,HIGH
2007-07-03,5.05,FLAT_HIGH_RATE,HIGH
2007-07-05,5.16,FLAT_HIGH_RATE,HIGH
2007-07-06,5.19,FLAT_HIGH_RATE,HIGH
2007-07-09,5.16,FLAT_HIGH_RATE,HIGH
2007-07-10,5.03,FLAT_HIGH_RATE,HIGH
2007-07-11,5.09,FLAT_HIGH_RATE,HIGH
2007-07-12,5.13,FLAT_HIGH_RATE,HIGH
2007-07-13,5.11,FLAT_HIGH_RATE,HIGH
2007-07-16,5.05,FLAT_HIGH_RATE,HIGH
2007-07-17,5.08,FLAT_HIGH_RATE,HIGH
2007-07-18,5.02,FLAT_HIGH_RATE,HIGH
2007-07-19,5.04,FLAT_HIGH_RATE,HIGH
2007-07-20,4.96,FLAT_HIGH_RATE,HIGH
2007-07-23,4.97,FLAT_HIGH_RATE,HIGH
2007-07-24,4.94,FLAT_HIGH_RATE,HIGH
2007-08-13,4.78,FLAT_HIGH_RATE,HIGH
2007-08-14,4.73,FLAT_HIGH_RATE,HIGH
2007-08-15,4.69,FLAT_HIGH_RATE,HIGH
2007-08-16,4.6,FLAT_HIGH_RATE,HIGH
2007-08-17,4.68,FLAT_HIGH_RATE,HIGH
2007-08-20,4.64,FLAT_HIGH_RATE,HIGH
2007-08-21,4.6,FLAT_HIGH_RATE,HIGH
2007-08-22,4.63,FLAT_HIGH_RATE,HIGH
2007-08-23,4.62,FLAT_HIGH_RATE,HIGH
2007-08-24,4.63,FLAT_HIGH_RATE,HIGH
2007-08-27,4.6,FLAT_HIGH_RATE,HIGH
2007-08-28,4.53,FLAT_HIGH_RATE,HIGH
2007-08-29,4.57,FLAT_HIGH_RATE,HIGH
2007-08-30,4.51,FLAT_HIGH_RATE,HIGH
2007-08-31,4.54,FLAT_HIGH_RATE,HIGH
2007-09-04,4.56,FLAT_HIGH_RATE,HIGH
2007-09-05,4.48,FLAT_HIGH_RATE,HIGH
2007-09-06,4.51,FLAT_HIGH_RATE,HIGH
2007-09-07,4.38,FLAT_HIGH_RATE,HIGH
2007-09-10,4.34,FLAT_HIGH_RATE,HIGH
2007-09-11,4.37,FLAT_HIGH_RATE,HIGH
2007-09-12,4.41,FLAT_HIGH_RATE,HIGH
2007-09-13,4.49,FLAT_HIGH_RATE,HIGH
2007-09-14,4.47,FLAT_HIGH_RATE,HIGH
2007-09-17,4.48,FLAT_HIGH_RATE,HIGH
2007-09-18,4.5,FLAT_HIGH_RATE,HIGH
2007-09-19,4.53,FLAT_HIGH_RATE,HIGH
2007-09-20,4.69,FLAT_HIGH_RATE,HIGH
2007-09-21,4.64,FLAT_HIGH_RATE,HIGH
2007-09-24,4.63,FLAT_HIGH_RATE,HIGH
2007-09-25,4.63,FLAT_HIGH_RATE,HIGH
2007-09-26,4.63,FLAT_HIGH_RATE,HIGH
2007-09-27,4.58,FLAT_HIGH_RATE,HIGH
2007-09-28,4.59,FLAT_HIGH_RATE,HIGH
2007-10-01,4.56,FLAT_HIGH_RATE,HIGH
2007-10-02,4.54,FLAT_HIGH_RATE,HIGH
2007-10-03,4.55,FLAT_HIGH_RATE,HIGH
2007-10-04,4.54,FLAT_HIGH_RATE,HIGH
2007-10-05,4.65,FLAT_HIGH_RATE,HIGH
2007-10-08,4.65,FLAT_HIGH_RATE,HIGH
2007-10-09,4.67,FLAT_HIGH_RATE,HIGH
2007-10-10,4.65,FLAT_HIGH_RATE,HIGH
2007-10-11,4.66,FLAT_HIGH_RATE,HIGH
2007-10-12,4.7,FLAT_HIGH_RATE,HIGH
2007-10-15,4.69,FLAT_HIGH_RATE,HIGH
2007-10-16,4.66,FLAT_HIGH_RATE,HIGH
2007-10-17,4.57,FLAT_HIGH_RATE,HIGH
2007-10-18,4.52,FLAT_HIGH_RATE,HIGH
2007-10-19,4.41,FLAT_HIGH_RATE,HIGH
2007-10-22,4.42,FLAT_HIGH_RATE,HIGH
2007-10-23,4.41,FLAT_HIGH_RATE,HIGH
2007-10-24,4.36,FLAT_HIGH_RATE,HIGH
2007-10-25,4.37,FLAT_HIGH_RATE,HIGH
2007-10-26,4.41,FLAT_HIGH_RATE,HIGH
2007-10-29,4.39,FLAT_HIGH_RATE,HIGH
2007-10-30,4.4,FLAT_HIGH_RATE,HIGH
2007-10-31,4.48,FLAT_HIGH_RATE,HIGH
2007-11-01,4.36,FLAT_HIGH_RATE,HIGH
2007-11-02,4.31,FLAT_HIGH_RATE,HIGH
2007-11-05,4.35,FLAT_HIGH_RATE,HIGH
2007-11-06,4.38,FLAT_HIGH_RATE,HIGH
2007-11-07,4.34,FLAT_HIGH_RATE,HIGH
2007-11-08,4.28,FLAT_HIGH_RATE,HIGH
2007-11-09,4.23,FLAT_HIGH_RATE,HIGH
2007-11-12,4.23,FLAT_HIGH_RATE,HIGH
2007-11-13,4.26,FLAT_HIGH_RATE,HIGH
2007-11-14,4.28,FLAT_HIGH_RATE,HIGH
2007-11-15,4.17,FLAT_HIGH_RATE,HIGH
2007-11-16,4.15,FLAT_HIGH_RATE,HIGH
