final_regime_confirmed,asset,n_obs,annualized_return,annualized_volatility,annualized_excess_return_vs_cash,Sharpe,max_drawdown,cumulative_return
FLAT_HIGH_RATE,SPY,639,0.03735801749496703,0.18166190310247046,-0.00018529448516491076,-0.001019996388898289,-0.32391794845901034,0.09746467622213428
FLAT_HIGH_RATE,GOLD,639,0.4195381912642673,0.2275246379815707,0.3682200023791127,1.618374192991522,-0.19209514099718172,1.4310927464053242
FLAT_HIGH_RATE,CMDTY_FUT,639,0.1523229829473205,0.21832590742524385,0.11064142824145984,0.5067718693867981,-0.34898991645347643,0.4326319725590446
FLAT_HIGH_RATE,IEF,639,0.10057904416809027,0.06114253741517592,0.06075252617118809,0.99362127807455,-0.03519113155715414,0.275086274901996
FLAT_HIGH_RATE,CASH,639,0.037552670901449536,0.00045799690167197744,0.0,0.0,0.0,0.09798693624175203
FLAT_LOW_RATE,SPY,877,0.11813706031227356,0.21999381887656283,0.10494566343483913,0.4770391457849254,-0.33717277905477994,0.47492672437150985
FLAT_LOW_RATE,GOLD,877,0.04224961613025702,0.14433167264479513,0.02995123932267796,0.20751674787549174,-0.18063790807891678,0.154900371997873
FLAT_LOW_RATE,CMDTY_FUT,877,0.1354518049770994,0.2591680742223817,0.1220534783228664,0.47094333933329,-0.48229740386208286,0.5559507647838748
FLAT_LOW_RATE,IEF,877,-0.007519750692178584,0.060017704272451344,-0.019230596638225794,-0.32041539861185275,-0.1323608261546494,-0.025926793759052935
FLAT_LOW_RATE,CASH,877,0.011941139546412849,0.0005141851525761438,0.0,0.0,-3.5722359331691322e-06,0.0421760671011826
INVERTED,SPY,923,0.18954748778286534,0.14468212620387516,0.13721676740977773,0.9484016513306017,-0.16680303676492436,0.8884293477507048
INVERTED,GOLD,923,0.1799393147943258,0.16097533344085774,0.12802927328483116,0.795334729540219,-0.14396354991506755,0.8331597192192588
INVERTED,CMDTY_FUT,923,-0.060737973103601184,0.19990777503139967,-0.10209663023270499,-0.5107186562236941,-0.33336521957529985,-0.20507505327726372
INVERTED,IEF,923,0.011089703840940324,0.0755730799649672,-0.033416924465094366,-0.44218026419705503,-0.13127904643744082,0.04122163194393935
INVERTED,CASH,923,0.046039224394769374,0.0005578796318677537,0.0,0.0,0.0,0.17922945560043502
STEEP_HIGH_RATE,SPY,1094,-0.0022140081243832155,0.2610491268222376,-0.007265642893800495,-0.02783247345909746,-0.5148145046061506,-0.009576116677081581
STEEP_HIGH_RATE,GOLD,1094,0.14190126054465457,0.21412261013714304,0.1361222037504104,0.6357208314583206,-0.29414136036638083,0.7790210892275036
STEEP_HIGH_RATE,CMDTY_FUT,1094,0.02547448739219149,0.30804712462623357,0.02028601395881524,0.06585360594885964,-0.6615132864685912,0.11539261747018781
STEEP_HIGH_RATE,IEF,1094,0.04760694532838028,0.07736648230893345,0.04230605050336855,0.5468266003672692,-0.10401406774123712,0.22373271413917162
STEEP_HIGH_RATE,CASH,1094,0.0050861623445608295,0.00035140308980208945,0.0,0.0,-1.1905747000495737e-06,0.02226876904039199
STEEP_LOW_RATE,SPY,1541,0.18135490897932027,0.14613091200580533,0.18066200984850544,1.2363024863714551,-0.18605496238962782,1.7708424411239014
STEEP_LOW_RATE,GOLD,1541,-0.024823787052110746,0.17003760570609255,-0.02539612359752741,-0.14935592330924857,-0.4763470878393309,-0.14248389538465578
STEEP_LOW_RATE,CMDTY_FUT,1541,-0.008116082324001184,0.1908870627867159,-0.008698035802788495,-0.04556639761651675,-0.5028889000222854,-0.04861169409166588
STEEP_LOW_RATE,IEF,1541,0.03519748296043046,0.06486070406069533,0.034589981538271974,0.5332964240706264,-0.09075522649953771,0.23557213473756722
STEEP_LOW_RATE,CASH,1541,0.0005872591694031648,2.6232334451870728e-05,0.0,0.0,-3.9684516073279497e-07,0.0035965344420962886
