oil_level_regime,final_regime_confirmed,days,coverage
OIL_LEVEL_HIGH,FLAT_HIGH_RATE,87,0.01780597625869832
OIL_LEVEL_HIGH,FLAT_LOW_RATE,27,0.005525992632009824
OIL_LEVEL_HIGH,FLAT_MID_RATE,28,0.0057306590257879654
OIL_LEVEL_HIGH,STEEP_HIGH_RATE,209,0.0427752762996316
OIL_LEVEL_HIGH,STEEP_LOW_RATE,250,0.05116659844453541
OIL_LEVEL_HIGH,STEEP_MID_RATE,91,0.01862464183381089
OIL_LEVEL_LOW,FLAT_LOW_RATE,90,0.018419975440032748
OIL_LEVEL_LOW,FLAT_MID_RATE,12,0.0024559967253376994
OIL_LEVEL_LOW,STEEP_HIGH_RATE,31,0.006344658207122391
OIL_LEVEL_LOW,STEEP_LOW_RATE,110,0.02251330331559558
OIL_LEVEL_LOW,STEEP_MID_RATE,32,0.006549324600900532
OIL_LEVEL_MID,FLAT_HIGH_RATE,334,0.0683585755218993
OIL_LEVEL_MID,FLAT_LOW_RATE,95,0.019443307408923454
OIL_LEVEL_MID,FLAT_MID_RATE,415,0.08493655341792877
OIL_LEVEL_MID,INVERTED,604,0.12361850184199755
OIL_LEVEL_MID,STEEP_HIGH_RATE,146,0.029881293491608677
OIL_LEVEL_MID,STEEP_LOW_RATE,369,0.07552189930413426
OIL_LEVEL_MID,STEEP_MID_RATE,512,0.10478919361440851
