date,TERM_SPREAD_10Y_1Y,GS10,GS1,macro_regime_raw,macro_regime_confirmed,refined_regime_raw,refined_regime_confirmed,steep_rate_regime_confirmed,final_regime_confirmed
2006-03-16,-0.0699999999999994,4.65,4.72,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-17,-0.0600000000000005,4.68,4.74,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-20,-0.08000000000000007,4.66,4.74,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-21,-0.08000000000000007,4.71,4.79,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-22,-0.08000000000000007,4.7,4.78,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-23,-0.0699999999999994,4.73,4.8,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-24,-0.08999999999999986,4.67,4.76,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-27,-0.0699999999999994,4.7,4.77,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-28,-0.03000000000000025,4.79,4.82,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-29,-0.020000000000000462,4.81,4.83,INVERTED,INVERTED,INVERTED,INVERTED,,INVERTED
2006-03-30,0.020000000000000462,4.86,4.84,FLAT,INVERTED,FLAT_HIGH_RATE,INVERTED,,INVERTED
2006-03-31,0.040000000000000036,4.86,4.82,FLAT,INVERTED,FLAT_HIGH_RATE,INVERTED,,INVERTED
2006-04-03,0.019999999999999574,4.88,4.86,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-04,0.020000000000000462,4.87,4.85,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-05,0.019999999999999574,4.84,4.82,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-06,0.05000000000000071,4.9,4.85,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-07,0.10999999999999943,4.97,4.86,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-10,0.08000000000000007,4.97,4.89,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-11,0.04999999999999982,4.93,4.88,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-12,0.07000000000000028,4.98,4.91,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
2006-04-13,0.09999999999999964,5.05,4.95,FLAT,FLAT,FLAT_HIGH_RATE,FLAT_HIGH_RATE,,FLAT_HIGH_RATE
