date,GS10,final_regime_confirmed,hmm_state_name
2008-01-24,3.68,STEEP_HIGH_RATE,HIGH
2008-01-25,3.61,STEEP_HIGH_RATE,HIGH
2008-01-28,3.61,STEEP_HIGH_RATE,HIGH
2008-01-29,3.69,STEEP_HIGH_RATE,HIGH
2008-01-30,3.78,STEEP_HIGH_RATE,HIGH
2008-01-31,3.67,STEEP_HIGH_RATE,HIGH
2008-02-01,3.62,STEEP_HIGH_RATE,HIGH
2008-02-04,3.68,STEEP_HIGH_RATE,HIGH
2008-02-05,3.61,STEEP_HIGH_RATE,HIGH
2008-02-06,3.61,STEEP_HIGH_RATE,HIGH
2008-02-07,3.74,STEEP_HIGH_RATE,HIGH
2008-02-08,3.64,STEEP_HIGH_RATE,HIGH
2008-02-11,3.62,STEEP_HIGH_RATE,HIGH
2008-02-12,3.66,STEEP_HIGH_RATE,HIGH
2008-02-13,3.7,STEEP_HIGH_RATE,HIGH
2008-02-14,3.85,STEEP_HIGH_RATE,HIGH
2008-02-15,3.76,STEEP_HIGH_RATE,HIGH
2008-02-19,3.89,STEEP_HIGH_RATE,HIGH
2008-02-20,3.93,STEEP_HIGH_RATE,HIGH
2008-02-21,3.77,STEEP_HIGH_RATE,HIGH
2008-02-22,3.79,STEEP_HIGH_RATE,HIGH
2008-02-25,3.91,STEEP_HIGH_RATE,HIGH
2008-02-26,3.88,STEEP_HIGH_RATE,HIGH
2008-02-27,3.85,STEEP_HIGH_RATE,HIGH
2008-02-28,3.71,STEEP_HIGH_RATE,HIGH
2008-02-29,3.53,STEEP_HIGH_RATE,HIGH
2008-03-03,3.54,STEEP_HIGH_RATE,HIGH
2008-03-04,3.63,STEEP_HIGH_RATE,HIGH
2008-03-05,3.7,STEEP_HIGH_RATE,HIGH
2008-03-06,3.62,STEEP_HIGH_RATE,HIGH
2008-03-07,3.56,STEEP_HIGH_RATE,HIGH
2008-03-10,3.46,STEEP_HIGH_RATE,HIGH
2008-03-11,3.6,STEEP_HIGH_RATE,HIGH
2008-03-12,3.49,STEEP_HIGH_RATE,HIGH
2008-03-13,3.56,STEEP_HIGH_RATE,HIGH
2008-03-14,3.44,STEEP_HIGH_RATE,HIGH
2008-03-17,3.34,STEEP_HIGH_RATE,HIGH
2008-03-18,3.48,STEEP_HIGH_RATE,HIGH
2008-03-19,3.38,STEEP_HIGH_RATE,HIGH
2008-03-20,3.34,STEEP_HIGH_RATE,HIGH
2008-03-24,3.56,STEEP_HIGH_RATE,HIGH
2008-03-25,3.51,STEEP_HIGH_RATE,HIGH
2008-03-26,3.51,STEEP_HIGH_RATE,HIGH
2008-03-27,3.56,STEEP_HIGH_RATE,HIGH
2008-03-28,3.47,STEEP_HIGH_RATE,HIGH
2008-03-31,3.45,STEEP_HIGH_RATE,HIGH
2008-04-01,3.57,STEEP_HIGH_RATE,HIGH
2008-04-02,3.6,STEEP_HIGH_RATE,HIGH
2008-04-03,3.61,STEEP_HIGH_RATE,HIGH
2008-04-04,3.5,STEEP_HIGH_RATE,HIGH
2008-04-07,3.57,STEEP_HIGH_RATE,HIGH
2008-04-08,3.58,STEEP_HIGH_RATE,HIGH
2008-04-09,3.49,STEEP_HIGH_RATE,HIGH
2008-04-10,3.55,STEEP_HIGH_RATE,HIGH
2008-04-11,3.49,STEEP_HIGH_RATE,HIGH
2008-04-14,3.53,STEEP_HIGH_RATE,HIGH
2008-04-15,3.6,STEEP_HIGH_RATE,HIGH
2008-04-16,3.72,STEEP_HIGH_RATE,HIGH
2008-04-17,3.75,STEEP_HIGH_RATE,HIGH
2008-04-18,3.77,STEEP_HIGH_RATE,HIGH
2008-04-21,3.75,STEEP_HIGH_RATE,HIGH
2008-04-22,3.74,STEEP_HIGH_RATE,HIGH
2008-04-23,3.77,STEEP_HIGH_RATE,HIGH
2008-04-24,3.87,STEEP_HIGH_RATE,HIGH
2008-04-25,3.91,STEEP_HIGH_RATE,HIGH
2008-04-28,3.86,STEEP_HIGH_RATE,HIGH
2008-04-29,3.85,STEEP_HIGH_RATE,HIGH
2008-04-30,3.77,STEEP_HIGH_RATE,HIGH
2008-05-01,3.78,STEEP_HIGH_RATE,HIGH
2008-05-02,3.89,STEEP_HIGH_RATE,HIGH
2008-05-05,3.88,STEEP_HIGH_RATE,HIGH
2008-05-06,3.93,STEEP_HIGH_RATE,HIGH
2008-05-07,3.87,STEEP_HIGH_RATE,HIGH
2008-05-08,3.79,STEEP_HIGH_RATE,HIGH
2008-05-09,3.77,STEEP_HIGH_RATE,HIGH
2008-05-12,3.78,STEEP_HIGH_RATE,HIGH
2008-05-13,3.9,STEEP_HIGH_RATE,HIGH
2008-05-14,3.92,STEEP_HIGH_RATE,HIGH
2008-05-15,3.83,STEEP_HIGH_RATE,HIGH
2008-05-16,3.85,STEEP_HIGH_RATE,HIGH
2008-05-19,3.83,STEEP_HIGH_RATE,HIGH
2008-05-20,3.78,STEEP_HIGH_RATE,HIGH
2008-05-21,3.81,STEEP_HIGH_RATE,HIGH
2008-05-22,3.92,STEEP_HIGH_RATE,HIGH
2008-05-23,3.85,STEEP_HIGH_RATE,HIGH
2008-05-27,3.93,STEEP_HIGH_RATE,HIGH
2008-05-28,4.03,STEEP_HIGH_RATE,HIGH
2008-05-29,4.08,STEEP_HIGH_RATE,HIGH
2008-05-30,4.06,STEEP_HIGH_RATE,HIGH
2008-06-02,3.98,STEEP_HIGH_RATE,HIGH
2008-06-03,3.92,STEEP_HIGH_RATE,HIGH
2008-06-04,3.98,STEEP_HIGH_RATE,HIGH
2008-06-05,4.06,STEEP_HIGH_RATE,HIGH
2008-06-06,3.94,STEEP_HIGH_RATE,HIGH
2008-06-09,4.02,STEEP_HIGH_RATE,HIGH
2008-06-10,4.11,STEEP_HIGH_RATE,HIGH
2008-06-11,4.1,STEEP_HIGH_RATE,HIGH
2008-06-12,4.23,STEEP_HIGH_RATE,HIGH
2008-06-13,4.27,STEEP_HIGH_RATE,HIGH
2008-06-16,4.25,STEEP_HIGH_RATE,HIGH
2008-06-17,4.23,STEEP_HIGH_RATE,HIGH
2008-06-18,4.16,STEEP_HIGH_RATE,HIGH
2008-06-19,4.22,STEEP_HIGH_RATE,HIGH
2008-06-20,4.16,STEEP_HIGH_RATE,HIGH
2008-06-23,4.19,STEEP_HIGH_RATE,HIGH
2008-06-24,4.1,STEEP_HIGH_RATE,HIGH
2008-06-25,4.12,STEEP_HIGH_RATE,HIGH
2008-06-26,4.07,STEEP_HIGH_RATE,HIGH
2008-06-27,3.99,STEEP_HIGH_RATE,HIGH
2008-06-30,3.99,STEEP_HIGH_RATE,HIGH
2008-07-01,4.01,STEEP_HIGH_RATE,HIGH
2008-07-02,3.99,STEEP_HIGH_RATE,HIGH
2008-07-03,3.99,STEEP_HIGH_RATE,HIGH
2008-07-07,3.95,STEEP_HIGH_RATE,HIGH
2008-07-08,3.91,STEEP_HIGH_RATE,HIGH
2008-07-09,3.85,STEEP_HIGH_RATE,HIGH
2008-07-10,3.83,STEEP_HIGH_RATE,HIGH
2008-07-11,3.96,STEEP_HIGH_RATE,HIGH
2008-07-14,3.9,STEEP_HIGH_RATE,HIGH
2008-07-15,3.87,STEEP_HIGH_RATE,HIGH
2008-07-16,3.97,STEEP_HIGH_RATE,HIGH
2008-07-17,4.07,STEEP_HIGH_RATE,HIGH
2008-07-18,4.11,STEEP_HIGH_RATE,HIGH
2008-07-21,4.09,STEEP_HIGH_RATE,HIGH
2008-07-22,4.14,STEEP_HIGH_RATE,HIGH
2008-07-23,4.16,STEEP_HIGH_RATE,HIGH
2008-07-24,4.03,STEEP_HIGH_RATE,HIGH
2008-07-25,4.13,STEEP_HIGH_RATE,HIGH
2008-07-28,4.06,STEEP_HIGH_RATE,HIGH
2008-07-29,4.09,STEEP_HIGH_RATE,HIGH
2008-07-30,4.07,STEEP_HIGH_RATE,HIGH
2008-07-31,3.99,STEEP_HIGH_RATE,HIGH
2008-08-01,3.97,STEEP_HIGH_RATE,HIGH
2008-08-04,3.98,STEEP_HIGH_RATE,HIGH
2008-08-05,4.04,STEEP_HIGH_RATE,HIGH
2008-08-06,4.06,STEEP_HIGH_RATE,HIGH
2008-08-07,3.92,STEEP_HIGH_RATE,HIGH
2008-08-08,3.94,STEEP_HIGH_RATE,HIGH
2008-08-11,3.99,STEEP_HIGH_RATE,HIGH
2008-08-12,3.91,STEEP_HIGH_RATE,HIGH
2008-08-13,3.94,STEEP_HIGH_RATE,HIGH
2008-08-14,3.89,STEEP_HIGH_RATE,HIGH
2008-08-15,3.84,STEEP_HIGH_RATE,HIGH
2008-08-18,3.82,STEEP_HIGH_RATE,HIGH
2008-08-19,3.83,STEEP_HIGH_RATE,HIGH
2008-08-20,3.79,STEEP_HIGH_RATE,HIGH
2008-08-21,3.84,STEEP_HIGH_RATE,HIGH
2008-08-22,3.87,STEEP_HIGH_RATE,HIGH
2008-08-25,3.79,STEEP_HIGH_RATE,HIGH
2008-08-26,3.79,STEEP_HIGH_RATE,HIGH
2008-08-27,3.77,STEEP_HIGH_RATE,HIGH
2008-08-28,3.79,STEEP_HIGH_RATE,HIGH
2008-08-29,3.83,STEEP_HIGH_RATE,HIGH
2008-09-02,3.74,STEEP_HIGH_RATE,HIGH
2008-09-03,3.71,STEEP_HIGH_RATE,HIGH
2008-09-04,3.64,STEEP_HIGH_RATE,HIGH
2008-09-05,3.66,STEEP_HIGH_RATE,HIGH
2008-09-08,3.66,STEEP_HIGH_RATE,HIGH
2008-09-09,3.62,STEEP_HIGH_RATE,HIGH
2008-09-10,3.65,STEEP_HIGH_RATE,HIGH
2008-09-11,3.64,STEEP_HIGH_RATE,HIGH
2008-09-12,3.74,STEEP_HIGH_RATE,HIGH
2008-09-15,3.47,STEEP_HIGH_RATE,HIGH
2008-09-16,3.48,STEEP_HIGH_RATE,HIGH
2008-09-17,3.41,STEEP_HIGH_RATE,HIGH
2008-09-18,3.54,STEEP_HIGH_RATE,HIGH
2008-09-19,3.78,STEEP_HIGH_RATE,HIGH
2008-09-22,3.83,STEEP_HIGH_RATE,HIGH
2008-09-23,3.85,STEEP_HIGH_RATE,HIGH
2008-09-24,3.8,STEEP_HIGH_RATE,HIGH
2008-09-25,3.88,STEEP_HIGH_RATE,HIGH
2008-09-26,3.85,STEEP_HIGH_RATE,HIGH
2008-09-29,3.61,STEEP_HIGH_RATE,HIGH
2008-09-30,3.85,STEEP_HIGH_RATE,HIGH
2008-10-01,3.77,STEEP_HIGH_RATE,HIGH
2008-10-02,3.66,STEEP_HIGH_RATE,HIGH
2008-10-03,3.63,STEEP_HIGH_RATE,HIGH
2008-10-06,3.48,STEEP_HIGH_RATE,HIGH
2008-10-07,3.5,STEEP_HIGH_RATE,HIGH
2008-10-08,3.72,STEEP_HIGH_RATE,HIGH
