from_allocation_state,to_allocation_state,transition_count,total_turnover,average_turnover,median_turnover,mean_strategy_return_next_5d,mean_strategy_return_next_20d,mean_SPY_return_next_5d,mean_SPY_return_next_20d,share_of_steep_turnover
STEEP_HIGH_RATE_STRESS,STEEP_HIGH_RATE_NORMAL,2,2.0,1.0,1.0,-0.0011602033613830054,0.035173327055942616,0.007758925454842691,0.04722067496961535,0.14045612566773263
STEEP_LOW_RATE_STRESS,STEEP_LOW_RATE_NORMAL,5,2.0,0.4,0.4,0.004852532044366508,0.014518782436699195,0.004852532044366508,0.014518782436699195,0.14045612566773263
STEEP_LOW_RATE_NORMAL,STEEP_LOW_RATE_STRESS,5,2.0,0.4,0.4,-0.007847658745823183,0.019461533251969643,-0.016336515434693787,0.01827333761486103,0.14045612566773263
STEEP_HIGH_RATE_STRESS,STEEP_LOW_RATE_STRESS,3,1.8000000000000003,0.6000000000000001,0.6000000000000001,-0.003405092307817418,0.0082066355389796,-0.009653223070722102,0.02432089215406937,0.12641051310095938
STEEP_LOW_RATE_STRESS,STEEP_HIGH_RATE_STRESS,3,1.8000000000000003,0.6000000000000001,0.6000000000000001,-0.005214309375645154,0.008263374872432302,0.019304060503922638,0.020769377463973043,0.12641051310095938
STEEP_LOW_RATE_NORMAL,STEEP_HIGH_RATE_NORMAL,3,1.759081998033794,0.5863606660112647,0.5806121571006743,0.0046875657646903894,0.0072619059132221775,0.0006618166130784401,-0.021366198262005958,0.12353692108784038
STEEP_HIGH_RATE_NORMAL,STEEP_LOW_RATE_NORMAL,2,1.1990348253203922,0.5995174126601961,0.5995174126601961,0.007664212114395719,-0.008340796388569549,0.007664212114395719,-7.43667612870258e-05,0.08420589305259442
STEEP_HIGH_RATE_NORMAL,STEEP_HIGH_RATE_STRESS,1,1.0,1.0,1.0,0.01667186733438908,0.015239459227863517,-0.0547608930764969,-0.017113146692312564,0.07022806283386632
STEEP_HIGH_RATE_NORMAL,STEEP_HIGH_RATE_NORMAL,603,0.6812051748280948,0.0011296934905938554,0.0,0.004786443859671729,0.01631062993835403,0.0038701513880279167,0.012289335810641427,0.047839719820582334
STEEP_HIGH_RATE_STRESS,STEEP_HIGH_RATE_STRESS,475,0.0,0.0,0.0,0.0019547123578540033,0.009051677065818962,-0.004065689463854091,-0.01460861499625947,0.0
STEEP_LOW_RATE_NORMAL,STEEP_LOW_RATE_NORMAL,1164,0.0,0.0,0.0,0.002900217717451317,0.011838253499024159,0.002822858043435111,0.010568308613650617,0.0
STEEP_LOW_RATE_STRESS,STEEP_LOW_RATE_STRESS,360,0.0,0.0,0.0,0.003975299513167966,0.015994778804398986,0.005296859108848853,0.023040683120880465,0.0
