entry_id,entry_date,final_regime_at_entry,allocation_state_at_entry,base_regime_at_entry,trigger_vix,trigger_credit_drawdown,trigger_monthly_sell,trigger_cmdty,trigger_combination,raw_credit_drawdown_trigger,effective_credit_drawdown_trigger,slow_growth_overlay_trigger_at_entry,previous_final_regime,previous_allocation_state,previous_full_risk_active,previous_recovery_active,next_exit_date,stress_duration_days,strategy_return_during_stress,SPY_return_during_stress,max_drawdown_during_stress,SPY_max_drawdown_during_stress,turnover_on_entry_date,turnover_on_exit_date,reentered_within_5d_after_exit,reentered_within_10d_after_exit,reentered_within_20d_after_exit
1,2006-05-18,FLAT_HIGH_RATE,FLAT_HIGH_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_HIGH_RATE,FLAT_HIGH_RATE_NORMAL,False,False,2006-06-05,11,0.0026981389965077263,0.016948577335879067,-0.01351627339120609,-0.017759887151137854,0.7,0.7,True,True,True
2,2006-06-09,INVERTED,INVERTED_STRESS,INVERTED,True,False,False,False,VIX,False,False,False,INVERTED,INVERTED_NORMAL,False,False,2006-06-30,15,-0.00209848278735858,0.01656112479449745,-0.043719511710129555,-0.02233680561884832,0.09999999999999999,0.09999999999999999,False,False,False
3,2007-02-28,INVERTED,INVERTED_STRESS,INVERTED,True,False,False,False,VIX,False,False,False,INVERTED,INVERTED_NORMAL,False,False,2007-03-21,15,0.007684262637623895,0.014546334950243267,-0.03195777034508973,-0.02540247165527254,0.09999999999999999,0.10000000000000002,False,False,False
4,2007-07-27,INVERTED,INVERTED_STRESS,INVERTED,True,True,False,False,VIX+CREDIT,True,True,False,INVERTED,INVERTED_NORMAL,False,False,2007-09-05,27,0.017255722474038837,0.007161507411647117,-0.022283963791371764,-0.05866618919047939,0.10000000000000003,0.7,False,False,False
5,2007-11-16,FLAT_HIGH_RATE,FLAT_HIGH_RATE_STRESS,FLAT,False,True,False,False,CREDIT,True,True,False,FLAT_HIGH_RATE,FLAT_HIGH_RATE_NORMAL,False,False,2009-04-21,357,0.17041053599490885,-0.40561846931923196,-0.06182532289403242,-0.5389295836996048,0.7,1.0,False,False,False
6,2010-05-17,STEEP_HIGH_RATE,STEEP_HIGH_RATE_STRESS,STEEP,False,True,False,False,CREDIT,True,True,False,STEEP_HIGH_RATE,STEEP_HIGH_RATE_NORMAL,False,False,2010-07-23,47,0.04645883015394148,-0.03432465632589654,-0.012814838779151128,-0.09884873850128639,1.0,1.0,False,False,False
7,2011-08-01,STEEP_MID_RATE,STEEP_MID_RATE_STRESS,STEEP,False,True,False,False,CREDIT,True,True,False,STEEP_MID_RATE,STEEP_MID_RATE_NORMAL,False,False,2012-02-28,145,0.20754241614889013,0.07279054277983099,-0.10998638800083582,-0.14195725311025953,1.0,0.0,False,False,False
8,2013-06-26,STEEP_MID_RATE,STEEP_MID_RATE_STRESS,STEEP,False,True,False,False,CREDIT,True,True,False,STEEP_MID_RATE,STEEP_MID_RATE_NORMAL,False,False,2013-07-08,7,-0.0108569624077276,0.028062799100832425,-0.019133768295723885,-0.004097050564263238,1.0,1.0,False,False,False
9,2014-10-02,STEEP_MID_RATE,STEEP_MID_RATE_STRESS,STEEP,False,True,False,False,CREDIT,True,True,False,STEEP_MID_RATE,STEEP_MID_RATE_NORMAL,False,False,2015-02-23,97,0.08639599608663961,0.09290366985158571,-0.0361655234115873,-0.05273585856730045,1.0,0.0,False,False,False
10,2015-07-08,STEEP_MID_RATE,STEEP_MID_RATE_STRESS,STEEP,False,True,False,False,CREDIT,True,True,False,STEEP_MID_RATE,STEEP_MID_RATE_NORMAL,False,False,2016-03-07,167,0.11278265652638275,-0.025713711048222287,-0.07218297948545116,-0.1302291885200637,1.0,0.0,False,False,False
11,2018-01-31,FLAT_MID_RATE,FLAT_LOWMID_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_MID_RATE,FLAT_MID_RATE_NORMAL,False,False,2018-02-26,17,3.559618922777119e-05,-0.025021173489713444,0.0,-0.08609427263631142,1.0,1.0,False,False,True
12,2018-03-20,FLAT_MID_RATE,FLAT_LOWMID_RATE_STRESS,FLAT,False,True,False,False,CREDIT,True,True,False,FLAT_MID_RATE,FLAT_MID_RATE_NORMAL,False,False,2019-03-08,243,0.019310100706128486,0.031889539020102164,0.0,-0.19348907124046466,1.0,1.0,False,False,False
13,2019-08-06,FLAT_MID_RATE,FLAT_LOWMID_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_MID_RATE,FLAT_MID_RATE_NORMAL,False,False,2019-08-22,12,0.015064147383706095,0.030406695566599362,-0.012966488222119987,-0.03310380334241436,1.0,0.09999999999999999,False,False,False
14,2020-02-25,FLAT_MID_RATE,FLAT_LOWMID_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_MID_RATE,FLAT_MID_RATE_NORMAL,False,False,2020-04-07,30,-0.0005106187068898427,-0.17369458195426468,-3.5722359331691322e-06,-0.2831904866202488,1.0,1.0,False,False,False
15,2020-10-29,FLAT_LOW_RATE,FLAT_LOWMID_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_LOW_RATE,FLAT_LOW_RATE_NORMAL,False,False,2020-11-05,5,-0.0009813728890348816,0.0516747183019457,0.0,-0.010424850754659487,1.0,1.0,False,False,False
16,2022-02-15,FLAT_MID_RATE,FLAT_LOWMID_RATE_STRESS,FLAT,False,True,False,False,CREDIT,True,True,False,FLAT_MID_RATE,FLAT_MID_RATE_NORMAL,False,False,2022-12-22,215,0.04130639259010027,-0.10597246195346643,-0.10289329572758388,-0.2209482591947477,1.0,0.10000000000000003,False,False,False
17,2024-08-05,INVERTED,INVERTED_STRESS,INVERTED,True,False,False,False,VIX,False,False,False,INVERTED,INVERTED_NORMAL,False,False,2024-08-14,7,0.013798338676958899,0.017151253728323823,-0.003811047453110561,-0.006684175568815509,0.10000000000000003,0.10000000000000003,False,False,False
18,2025-03-11,FLAT_HIGH_RATE,FLAT_HIGH_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_HIGH_RATE,FLAT_HIGH_RATE_NORMAL,False,False,2025-03-25,10,0.004193460630296908,0.027162836627651288,-0.006484253548560859,-0.013330418660348009,0.7,0.7,False,True,True
19,2025-04-04,FLAT_HIGH_RATE,FLAT_HIGH_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_HIGH_RATE,FLAT_HIGH_RATE_NORMAL,False,False,2025-04-25,14,-0.004476887939995566,0.018613737202847647,-0.018676054857441615,-0.06332259708506482,0.7,0.7,False,False,False
20,2025-11-19,FLAT_HIGH_RATE,FLAT_HIGH_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_HIGH_RATE,FLAT_HIGH_RATE_NORMAL,False,False,2025-11-26,5,0.000436133314072773,0.022633705056577025,-0.00018347876355573334,-0.015242245459799464,0.7,0.7,False,False,False
21,2026-03-09,FLAT_HIGH_RATE,FLAT_HIGH_RATE_STRESS,FLAT,True,False,False,False,VIX,False,False,False,FLAT_HIGH_RATE,FLAT_HIGH_RATE_NORMAL,False,False,2026-04-07,20,5.09487897781824e-06,-0.01732717291674002,-0.03263887207725591,-0.065717423219108,0.7,0.7,False,False,False
