field,same_or_different,n,match_rate,nonzero_diff_count,max_abs_diff,mean_abs_diff,reason,canonical_note
macro_regime_confirmed,same,5074,1.0,0,,,,Intentional canonical difference can remain versus old reference.
SPY_return,same,5074,1.0,0,0.0,0.0,,
GOLD_return,same,5074,1.0,0,0.0,0.0,,
CMDTY_FUT_return,same,5074,1.0,0,0.0,0.0,,
IEF_return,same,5074,1.0,0,0.0,0.0,,
CASH_return,same,5074,1.0,0,9.982791503160282e-17,1.3899756389396365e-17,,Bug-fix/canonical formula applied in source-only rebuild.
VIX_ZSCORE_120D,same,5074,1.0,0,8.881784197001252e-16,3.130503429471836e-17,,Bug-fix/canonical formula applied in source-only rebuild.
CREDIT_SPREAD_BAA_AAA,same,5074,1.0,0,4.440892098500626e-16,2.6825648959212495e-17,,Intentional canonical difference can remain versus old reference.
D_CREDIT_SPREAD_20D,same,5074,1.0,0,9.8879238130678e-17,4.110925402480867e-17,,Intentional canonical difference can remain versus old reference.
CMDTY_RET60,same,5074,1.0,0,9.974659986866641e-17,4.181934875472665e-17,,Bug-fix/canonical formula applied in source-only rebuild.
