credit_variant,episode_id,entry_date,unlock_date,duration_days,entry_SPY_DD,entry_CREDIT_SPREAD,entry_D_CREDIT_15D,entry_D_CREDIT_Z,entry_CREDIT_LEVEL_Z,unlock_D_CREDIT_15D,unlock_CREDIT_LEVEL_Z,unlock_SPY_vs_MA20,unlock_SPY_vs_MA50,SPY_return_during_lock,SPY_maxDD_during_lock,CASH_return_during_lock,next_21d_SPY_return_after_unlock,next_21d_SPY_maxDD_after_unlock,next_63d_SPY_return_after_unlock,next_63d_SPY_maxDD_after_unlock,false_recovery_flag,missed_rebound_flag,relock_within_21d,relock_within_63d
SPY_CASH_FINAL_LOCKS,1,2007-11-26,2008-04-25,104,-0.0992462694414464,0.9899999999999993,0.13999999999999968,2.3987094336911143,1.8818242996091878,-0.02999999999999936,1.7169852413750506,0.023122691827907937,0.03937401565546628,-0.030441352326004978,-0.15387059523373026,0.00880062530782233,-0.0067332877522486845,-0.03781899682944745,-0.09665004921873566,-0.1499815171238229,True,True,False,False
SPY_CASH_FINAL_LOCKS,2,2018-03-20,2018-04-27,27,-0.0507525410358691,0.7799999999999998,0.10999999999999988,3.780752081116747,3.764530840996336,-0.009999999999999787,2.506082561592528,0.006340572831125657,-0.005528286645073877,-0.015453452633356068,-0.04975111981267488,0.0018538579651949938,0.009228602072067105,-0.01591262363618895,0.06048793967860533,-0.02997488926998826,False,False,False,False
SPY_CASH_FINAL_LOCKS,3,2018-11-27,2019-01-07,26,-0.0816298377479007,1.0300000000000002,0.11000000000000032,2.487153282082807,2.185004418733136,0.05999999999999961,2.350551346749624,0.008441620375136516,-0.03178171811339481,-0.05097624477758189,-0.15607447747426728,0.00241108312351912,0.07217555214345217,-0.013510623931932364,0.14027058048815233,-0.021253639218935416,True,True,True,True
SPY_CASH_FINAL_LOCKS,4,2019-01-28,2019-02-15,14,-0.0922363227729098,1.2300000000000004,0.09000000000000075,1.4492042114996562,2.611433069425166,-0.04000000000000048,1.920934801437405,0.029838574516940053,0.06329676771423953,0.03235780759428075,-0.010838736026719364,0.001304093771762549,0.02261914218059391,-0.021253639218935527,0.03507587260627876,-0.04479180168549546,False,False,False,False
SPY_CASH_FINAL_LOCKS,5,2020-03-13,2020-04-06,16,-0.2039962095583993,1.1099999999999999,0.2999999999999998,5.606543158882503,2.361255619560613,0.7800000000000002,6.055287690648605,0.05351803575051828,-0.09384975641231097,0.006204670336973361,-0.1673064514209136,5.1146348734487646e-05,0.07320837775216593,-0.047446260657181494,0.18991480984979447,-0.0698950637250666,True,True,True,True
SPY_CASH_FINAL_LOCKS,6,2020-04-08,2020-04-24,11,-0.1853124632037285,1.8900000000000001,0.7800000000000002,4.608370976052286,5.299654383612866,-0.10000000000000009,2.392784580546276,0.04804862218140116,0.012797561918217237,0.05261566985862354,-0.047446260657181494,7.096984638588211e-05,0.05693187500307939,-0.039596086224793936,0.1389620131921745,-0.0698950637250666,False,False,False,False
SPY_CASH_FINAL_LOCKS,7,2022-02-28,2022-04-08,29,-0.0859935276062733,0.77,0.1299999999999999,4.676643535211978,3.4879801505541446,-0.03000000000000025,2.8692762871785633,0.002236609228927877,0.01557519106342875,0.02835909853272023,-0.04941900840318236,0.0005448219892361106,-0.10831836662637495,-0.10531661871713616,-0.14544079579046654,-0.17614160547941304,True,False,False,True
SPY_CASH_FINAL_LOCKS,8,2022-05-31,2022-08-05,46,-0.1329200074004267,1.04,0.14000000000000057,2.639410279556082,2.965164835007683,-0.04999999999999982,1.8430768003246139,0.04197429458140167,0.05282144358860563,0.0016835747702370618,-0.12156500198574871,0.0034233230771936185,-0.05492530279664076,-0.09062131183276656,-0.09900582096171939,-0.16680303676492392,True,True,False,False
SPY_CASH_CREDIT_ONLY,1,2007-11-26,2008-04-28,105,-0.0992462694414464,0.9899999999999993,0.13999999999999968,2.3987094336911143,1.8818242996091878,-0.02999999999999936,1.6991239941231653,0.020478630873018266,0.038805032472558176,-0.02146918623571048,-0.15387059523373026,0.008852727751132772,-0.00236363510389459,-0.03781899682944734,-0.1100884139927728,-0.14998151712382268,True,True,False,False
SPY_CASH_CREDIT_ONLY,2,2018-03-20,2018-04-30,28,-0.0507525410358691,0.7799999999999998,0.10999999999999988,3.780752081116747,3.764530840996336,-0.009999999999999787,2.4654783525656225,-0.0027241778651458937,-0.012629027910790014,-0.014529293025239975,-0.04975111981267488,0.0019240038477161825,0.030622475147395134,-0.01591262363618906,0.06312461174944572,-0.02997488926998826,False,False,False,False
SPY_CASH_CREDIT_ONLY,3,2018-11-27,2019-02-19,55,-0.0816298377479007,1.0300000000000002,0.11000000000000032,2.487153282082807,2.185004418733136,-0.04000000000000048,1.9030351457044228,0.029443982572217475,0.06438855870505678,0.04295232649106029,-0.15607447747426728,0.005123411933110056,0.01777959784289629,-0.021253639218935638,0.02645563844362986,-0.04479180168549535,False,True,False,False
SPY_CASH_CREDIT_ONLY,4,2020-03-16,2020-04-27,29,-0.2910978512112505,1.1099999999999999,0.2999999999999998,5.27183052391418,2.3462869416175183,-0.31999999999999984,2.3565309593383663,0.05657951053380894,0.030945650031906746,0.05686159074474384,-0.112891625859458,0.00012767931316925996,0.057411883027371324,-0.039596086224793825,0.13096151904490627,-0.0698950637250666,False,True,False,False
SPY_CASH_CREDIT_ONLY,5,2022-02-28,2022-04-11,30,-0.0859935276062733,0.77,0.1299999999999999,4.676643535211978,3.4879801505541446,-0.03000000000000025,2.812649498667987,-0.017557113771302868,-0.0017533385312519245,0.02560914370511247,-0.04941900840318236,0.0005721241486391637,-0.10722392161525762,-0.11749510619128278,-0.13514629401257217,-0.17614160547941304,True,False,False,True
SPY_CASH_CREDIT_ONLY,6,2022-05-31,2022-08-08,47,-0.1329200074004267,1.04,0.14000000000000057,2.639410279556082,2.965164835007683,-0.04999999999999982,1.8227208232767271,0.037006755527130286,0.05067206703003846,-9.47486493019234e-06,-0.12156500198574871,0.003520872796247687,-0.03682903116248748,-0.09062131183276678,-0.08497544223264009,-0.16680303676492425,True,True,False,False
BASELINE_ABS,1,2007-11-26,2008-04-28,105,-0.0992462694414464,0.9899999999999993,0.13999999999999968,2.3987094336911143,1.8818242996091878,-0.02999999999999936,1.6991239941231653,0.020478630873018266,0.038805032472558176,-0.02146918623571048,-0.15387059523373026,0.008852727751132772,-0.00236363510389459,-0.03781899682944734,-0.1100884139927728,-0.14998151712382268,True,True,False,False
BASELINE_ABS,2,2018-03-20,2018-04-30,28,-0.0507525410358691,0.7799999999999998,0.10999999999999988,3.780752081116747,3.764530840996336,-0.009999999999999787,2.4654783525656225,-0.0027241778651458937,-0.012629027910790014,-0.014529293025239975,-0.04975111981267488,0.0019240038477161825,0.030622475147395134,-0.01591262363618906,0.06312461174944572,-0.02997488926998826,False,False,False,False
BASELINE_ABS,3,2018-11-27,2019-01-08,27,-0.0816298377479007,1.0300000000000002,0.11000000000000032,2.487153282082807,2.185004418733136,0.019999999999999574,2.318673500838969,0.018980644035736738,-0.022163211046602793,-0.04349359184932744,-0.15607447747426728,0.0025058161554201153,0.05206996782040019,-0.013510623931932142,0.12386783856146688,-0.02125363921893575,True,True,True,True
BASELINE_ABS,4,2019-01-28,2019-02-19,15,-0.0922363227729098,1.2300000000000004,0.09000000000000075,1.4492042114996562,2.611433069425166,-0.04000000000000048,1.9030351457044228,0.029443982572217475,0.06438855870505678,0.043607723738566806,-0.010838736026719364,0.0013975579307410335,0.01777959784289629,-0.021253639218935638,0.02645563844362986,-0.04479180168549535,False,False,False,False
BASELINE_ABS,5,2020-03-16,2020-04-07,16,-0.2910978512112505,1.1099999999999999,0.2999999999999998,5.27183052391418,2.3462869416175183,0.7800000000000002,5.641338517624506,0.059142569155753666,-0.08940713325837601,-0.010777125517919761,-0.112891625859458,4.639419069651929e-05,0.08505263445233702,-0.047446260657181494,0.19779521250903076,-0.06989506372506638,True,True,True,True
BASELINE_ABS,6,2020-04-08,2020-04-27,12,-0.1853124632037285,1.8900000000000001,0.7800000000000002,4.608370976052286,5.299654383612866,-0.31999999999999984,2.3565309593383663,0.05657951053380894,0.030945650031906746,0.0672877907065923,-0.047446260657181494,7.572924536281e-05,0.057411883027371324,-0.039596086224793825,0.13096151904490627,-0.0698950637250666,False,False,False,False
