date,spy_price,SPY_return,CASH_return,macro_regime_confirmed,final_regime_confirmed,VIX_LEVEL,VIX_ZSCORE_120D,CMDTY_RET60,WBAA,WAAA,CREDIT_SPREAD,D_CREDIT_15D,D_CREDIT_20D,D_CREDIT_60D,CREDIT_LEVEL_Z_252D,CREDIT_LEVEL_Z_504D,D_CREDIT_15D_Z_252D,D_CREDIT_20D_Z_252D,D_CREDIT_60D_Z_252D,CREDIT_PERCENTILE_252D,CREDIT_PERCENTILE_504D,CREDIT_SPREAD_MA20,CREDIT_SPREAD_MA60,CREDIT_ABOVE_MA20,CREDIT_ABOVE_MA60,SPY_MA20,SPY_MA50,SPY_MA100,SPY_DD
2006-03-16,90.2060089111328,0.0020649850323546,0.0001746854359494,INVERTED,INVERTED,11.98,-0.3647569529354537,0.0091743119266054,6.41,5.53,0.8799999999999999,,,,,,,,,,,,,False,False,88.82739295959472,,,-0.0673204964905844
2006-03-17,90.28131866455078,0.0008348640442807,0.0001754449706703,INVERTED,INVERTED,12.12,-0.2639021096272286,0.0091743119266054,6.41,5.53,0.8799999999999999,,,,,,,,,,,,,False,False,88.89552841186523,,,-0.0665418359082666
2006-03-20,90.13616943359376,-0.0016077438068483,0.0001765840013678,INVERTED,INVERTED,11.79,-0.483047137614647,-0.0194954128440367,6.41,5.53,0.8799999999999999,,,,,,,,,,,,,False,False,88.96845321655273,,,-0.0680425974905369
2006-03-21,89.56941986083984,-0.0062877042181324,0.0001773431743243,INVERTED,INVERTED,11.62,-0.5923616331191573,-0.0097477064220182,6.41,5.53,0.8799999999999999,,,,,,,,,,,,,False,False,89.02405624389648,,,-0.0739024699814157
2006-03-22,90.1154327392578,0.0060959742651709,0.0001773431743243,INVERTED,INVERTED,11.21,-0.8624672545254416,-0.0162844176686137,6.41,5.53,0.8799999999999999,,,,,,,,,,,,,False,False,89.08011131286621,,,-0.0682570032713841
2006-03-23,89.92881774902344,-0.002070843856172,0.0001765840013678,INVERTED,INVERTED,11.17,-0.8808815930302408,0.0038991105665855,6.41,5.53,0.8799999999999999,,,,,,,,,,,,,False,False,89.13337631225586,,,-0.0701864975316908
2006-03-24,89.99797821044922,0.0007690578299248,0.0001762043606439,INVERTED,INVERTED,11.19,-0.860908726403853,0.00802752293578,6.39,5.51,0.8799999999999999,,,,,,,,,,,,,False,False,89.17873840332031,,,-0.0694714171772475
2006-03-27,89.8666000366211,-0.0014597902801872,0.0001750652214067,INVERTED,INVERTED,11.46,-0.6706155141021165,0.00802752293578,6.39,5.51,0.8799999999999999,,,,,,,,,,,,,False,False,89.21581153869629,,,-0.0708297937578886
2006-03-28,89.31367492675781,-0.0061527320454758,0.0001758246837471,INVERTED,INVERTED,11.58,-0.579939725069563,0.0252293577981652,6.39,5.51,0.8799999999999999,,,,,,,,,,,,,False,False,89.26757736206055,,,-0.076546729061536
2006-03-29,89.87349700927734,0.0062680444285672,0.0001750652214067,INVERTED,INVERTED,10.95,-0.991018965349093,0.0344036697247707,6.39,5.51,0.8799999999999999,,,,,,,,,,,,,False,False,89.30809326171875,,,-0.0707584829315879
2006-03-30,89.714599609375,-0.0017680117630889,0.0001746854359494,INVERTED,INVERTED,11.57,-0.5562136998410632,0.0458715596330274,6.39,5.51,0.8799999999999999,,,,,,,,,,,,,False,False,89.34100723266602,,,-0.0724013928645155
2006-03-31,89.73529815673828,0.0002307154850313,0.0001754449706703,INVERTED,INVERTED,11.39,-0.6671542040079473,0.0401376146788989,6.5,5.61,0.8899999999999997,,,,,,,,,,,,,False,False,89.39560966491699,,,-0.0721873815019557
2006-04-03,89.66617584228516,-0.0007702912440585,0.0001765840013678,FLAT,FLAT_HIGH_RATE,11.57,-0.529738321414026,0.0447247706422015,6.5,5.61,0.8899999999999997,,,,,,,,,,,,,False,False,89.46706504821778,,,-0.0729020674381119
2006-04-04,90.23986053466795,0.0063980055689212,0.0001769636059256,FLAT,FLAT_HIGH_RATE,11.14,-0.8249684467871258,0.0355504587155961,6.5,5.61,0.8899999999999997,,,,,,,,,,,,,False,False,89.57409057617187,,,-0.0669704897026457
2006-04-05,90.5508804321289,0.0034465910698238,0.0001765840013678,FLAT,FLAT_HIGH_RATE,11.13,-0.8281932314739767,0.0463303032271356,6.5,5.61,0.8899999999999997,,,,,,,,,,,,,False,False,89.6873722076416,,,-0.0637547185245726
2006-04-06,90.4541244506836,-0.0010685261256828,0.0001769636059256,FLAT,FLAT_HIGH_RATE,11.45,-0.5821617646289039,0.0543578261629154,6.5,5.61,0.8899999999999997,0.009999999999999787,,,,,,,,,,,,False,False,89.82541923522949,,,-0.0647551210678762
2006-04-07,89.53485107421875,-0.0101628685485318,0.0001773431743243,FLAT,FLAT_HIGH_RATE,12.26,0.0680374368708666,0.0486238812087871,6.59,5.72,0.8700000000000001,-0.009999999999999787,,,,,,,,,,,,False,False,89.87585258483887,,,-0.0742598918331511
2006-04-10,89.67312622070312,0.0015443723290471,0.0001777227065709,FLAT,FLAT_HIGH_RATE,12.19,0.0293110560381048,0.0676605504587155,6.59,5.72,0.8700000000000001,-0.009999999999999787,,,,,,,,,,,,False,False,89.92493782043456,,,-0.0728302044262092
2006-04-11,88.91277313232422,-0.0084791633839945,0.0001777227065709,FLAT,FLAT_HIGH_RATE,13.0,0.7188046740578935,0.0724770782190724,6.59,5.72,0.8700000000000001,-0.009999999999999787,,,,,,,,,,,,False,False,89.8895362854004,,,-0.0806918286075841
2006-04-12,89.07868194580078,0.0018659727689478,0.0001777227065709,FLAT,FLAT_HIGH_RATE,12.76,0.5269027380028076,0.0756880733944951,6.59,5.72,0.8700000000000001,-0.009999999999999787,,,,,,,,,,0.8805,,False,False,89.84246444702148,,,-0.0789764245934946
2006-04-13,88.96118927001953,-0.0013189763612885,0.0001777227065709,FLAT,FLAT_HIGH_RATE,12.38,0.2477273812653971,0.0853211289152091,6.59,5.72,0.8700000000000001,-0.009999999999999787,-0.009999999999999787,,,,,,,,,0.8799999999999999,,False,False,89.78022346496581,,,-0.0801912329176453
2006-04-17,88.92660522460938,-0.0003887543061635,0.0001788610864654,FLAT,FLAT_HIGH_RATE,12.58,0.4740747204664329,0.1043577981651375,6.59,5.72,0.8700000000000001,-0.009999999999999787,-0.009999999999999787,,,,,,,,,0.8795,,False,False,89.71248779296874,,,-0.0805488125366955
2006-04-18,90.33660125732422,0.0158557276436392,0.0001788610864654,FLAT,FLAT_HIGH_RATE,11.4,-0.606702148806717,0.1270642061845972,6.59,5.72,0.8700000000000001,-0.009999999999999787,-0.009999999999999787,,,,,,,,,0.8789999999999999,,False,False,89.72250938415527,,,-0.0659702449266566
