strategy,CAGR,annualized_volatility,Sharpe,Sortino,MaxDD,Calmar,final_equity,win_rate,worst_day,worst_12m_return,turnover,transaction_cost,number_of_trades,annualized_vol,transaction_cost_drag,time_in_stress,time_in_credit_stress,time_in_vix_stress,time_in_cmdty_stress,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY_FUT
CURRENT_FINAL,0.20196797918368836,0.13534828988418227,1.4922093168411117,2.0133586261368372,-0.1593566070738817,1.2673963313617174,40.61039016831501,0.5670082774931021,-0.0504282030273268,-0.09410991872122187,181.757113519815,0.09087855675990589,235,0.13534828988418227,0.09087855675990589,1029,273,296,526,0.506266203828631,0.20854174367475944,0.11955065037445803,0.0029365392195506504,0.1627048629026009
FINAL_WITH_CASH_STRESS_ONLY,0.17139623889325062,0.12419368633975426,1.3800720789007361,1.6511739790775422,-0.18783440940318197,0.9124858402559927,24.173863697739588,0.6501773748521876,-0.05042820302732689,-0.12355191078837413,175.89776336973372,0.08794888168486686,229,0.12419368633975426,0.08794888168486686,1029,273,296,526,0.5038892914757275,0.13060726462048916,0.0,0.2027985810011825,0.1627048629026009
FINAL_WITH_CREDIT_STRESS_CASH,0.1898476596030172,0.1308336782056212,1.4510610892147224,1.890432328472021,-0.15808257136111636,1.200939850411075,33.11406952169617,0.5888845092629089,-0.05042820302732689,-0.13148297545522203,192.37550422879883,0.09618775211439942,238,0.1308336782056212,0.09618775211439942,1029,273,296,526,0.5051253858723693,0.17673025575794274,0.09990145841545132,0.05553803705163579,0.1627048629026009
FINAL_WITH_NON_CREDIT_STRESS_CASH,0.18227084541123517,0.12895300354703026,1.4134672353308888,1.7628847558214913,-0.18783440940318152,0.9703804856116415,29.11726794517826,0.6265273945605045,-0.05042820302732689,-0.10389123198838601,201.27937266074986,0.10063968633037493,244,0.12895300354703026,0.10063968633037493,1029,273,296,526,0.5050301094319891,0.1624187525373059,0.0196491919590067,0.15019708316909736,0.1627048629026009
REGIME_NORMAL_CASH_STRESS,0.17139623889325062,0.12419368633975426,1.3800720789007361,1.6511739790775422,-0.18783440940318197,0.9124858402559927,24.173863697739588,0.6501773748521876,-0.05042820302732689,-0.12355191078837413,175.89776336973372,0.08794888168486686,229,0.12419368633975426,0.08794888168486686,1029,273,296,526,0.5038892914757275,0.13060726462048916,0.0,0.2027985810011825,0.1627048629026009
REGIME_NORMAL_ONLY_NO_STRESS_HEDGE,0.15367637508783227,0.1776745626863414,0.8649317761886126,1.030697337631579,-0.5342946775020497,0.28762475382742836,17.785103542056216,0.5658257784785179,-0.09773360008427663,-0.48054464305972777,47.219031722911225,0.023609515861455613,202,0.1776745626863414,0.023609515861455613,1029,273,296,526,0.6265222558621849,0.14919246471556408,0.0,0.0,0.22428527942225113
SPY_BUY_HOLD,0.11138490180956961,0.19363068768012054,0.5752440542564119,0.7016046436312886,-0.551894409358084,0.20182284857555077,8.384514463464857,0.551044540796216,-0.1094236518704636,-0.4735408482965028,1.0,0.0005,1,0.19363068768012054,0.0005,0,0,0,0,1.0,0.0,0.0,0.0,0.0
SPY_CASH_CMDTY_ONLY,0.1318416745929727,0.15943315346455875,0.8269401421723775,0.9829692842665899,-0.33717277905477994,0.3910211107865044,12.105156594302434,0.596570752857706,-0.1094236518704636,-0.2028128787043939,33.0,0.0165,17,0.15943315346455875,0.0165,534,0,0,534,0.8947575877020102,0.0,0.0,0.10524241229798975,0.0
SPY_CASH_CREDIT_ONLY,0.10707397249240924,0.18071552690749854,0.5925001261635718,0.6961267031925908,-0.5389322447878623,0.19867798508615186,7.753417163744088,0.5774536854552621,-0.0984475753318431,-0.5025004844566554,25.0,0.0125,13,0.18071552690749854,0.0125,294,294,0,0,0.9420575482853765,0.0,0.0,0.057942451714623575,0.0
SPY_CASH_TRIGGER_LOCK,0.1203935416968398,0.12696799457607155,0.9482196052541987,1.100620170931085,-0.29454945501511776,0.40873795434678567,9.86445389258892,0.6365786361844699,-0.0576490882079754,-0.25804681621490966,141.0,0.07050000000000001,71,0.12696799457607155,0.07050000000000001,0,0,0,0,0.7972014189988175,0.0,0.0,0.2027985810011825,0.0
SPY_CASH_VIX_ONLY,0.10975992607455498,0.1589970205186834,0.6903269364199018,0.8417890837180246,-0.4496120164282583,0.24412142483756027,8.141100094907127,0.5733149389042176,-0.0885775269043535,-0.353373854309879,101.0,0.0505,51,0.1589970205186834,0.0505,316,0,316,0,0.9377217185652346,0.0,0.0,0.06227828143476547,0.0
SPY_NORMAL_REGIME_HEDGE_STRESS,0.14957065477356113,0.1379317665642134,1.0843814916553636,1.422872001207252,-0.2713257013430169,0.5512587050663146,16.55315914713059,0.5534095388253844,-0.0576490882079754,-0.2336213790259355,149.09287280361139,0.0745464364018057,79,0.1379317665642134,0.0745464364018057,1029,273,296,526,0.7995783313517211,0.07793447905427027,0.11955065037445803,0.0029365392195506504,0.0
