strategy,cumulative_return,max_drawdown,Sharpe,time_in_stress,time_in_vix_lock,time_in_credit_lock,window,unlock_z_threshold,unlock_trend_rule
SPY_CASH_TIMING,0.0935864039903096,-0.1922344804013396,0.3355939775031991,251,35,104,2008_GFC,,
SPY_CASH_TIMING,0.09423755712371351,-0.06989506372506638,1.3412870294717911,42,29,27,COVID_2020,,
SPY_CASH_TIMING,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,91,12,75,2022_RATE_WAR,,
SPY_CASH_TIMING,0.24041161718813053,-0.1459905702079365,1.4114320680744317,49,45,0,2025_PULLBACK,,
EXIT_Z0.1_MA20,-0.009928039897966867,-0.08167192115494515,-0.0761985494767557,379,0,379,2008_GFC,0.1,MA20
EXIT_Z0.1_MA20,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.1,MA20
EXIT_Z0.1_MA20,0.005127230247534698,-0.0972764695955407,0.0374934605884399,240,0,240,2022_RATE_WAR,0.1,MA20
EXIT_Z0.1_MA20,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.1,MA20
EXIT_Z0.1_MA30,-0.009928039897966867,-0.08167192115494515,-0.0761985494767557,379,0,379,2008_GFC,0.1,MA30
EXIT_Z0.1_MA30,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.1,MA30
EXIT_Z0.1_MA30,0.005127230247534698,-0.0972764695955407,0.0374934605884399,240,0,240,2022_RATE_WAR,0.1,MA30
EXIT_Z0.1_MA30,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.1,MA30
EXIT_Z0.1_MA40,-0.009928039897966867,-0.08167192115494515,-0.0761985494767557,379,0,379,2008_GFC,0.1,MA40
EXIT_Z0.1_MA40,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.1,MA40
EXIT_Z0.1_MA40,0.005127230247534698,-0.0972764695955407,0.0374934605884399,240,0,240,2022_RATE_WAR,0.1,MA40
EXIT_Z0.1_MA40,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.1,MA40
EXIT_Z0.1_MA50,-0.009928039897966867,-0.08167192115494515,-0.0761985494767557,379,0,379,2008_GFC,0.1,MA50
EXIT_Z0.1_MA50,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.1,MA50
EXIT_Z0.1_MA50,0.005127230247534698,-0.0972764695955407,0.0374934605884399,240,0,240,2022_RATE_WAR,0.1,MA50
EXIT_Z0.1_MA50,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.1,MA50
EXIT_Z0.9_MA20,0.07397815707867439,-0.08167192115494515,0.44678712707968465,357,0,357,2008_GFC,0.9,MA20
EXIT_Z0.9_MA20,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.9,MA20
EXIT_Z0.9_MA20,0.03554237524767756,-0.0972764695955407,0.24663484760954743,226,0,226,2022_RATE_WAR,0.9,MA20
EXIT_Z0.9_MA20,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.9,MA20
EXIT_Z0.9_MA30,0.07397815707867439,-0.08167192115494515,0.44678712707968465,357,0,357,2008_GFC,0.9,MA30
EXIT_Z0.9_MA30,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.9,MA30
EXIT_Z0.9_MA30,0.02851901570898674,-0.0972764695955407,0.19850058925449215,227,0,227,2022_RATE_WAR,0.9,MA30
EXIT_Z0.9_MA30,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.9,MA30
EXIT_Z0.9_MA40,0.07397815707867439,-0.08167192115494515,0.44678712707968465,357,0,357,2008_GFC,0.9,MA40
EXIT_Z0.9_MA40,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.9,MA40
EXIT_Z0.9_MA40,0.015844120383515792,-0.0972764695955407,0.11101945765757246,228,0,228,2022_RATE_WAR,0.9,MA40
EXIT_Z0.9_MA40,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.9,MA40
EXIT_Z0.9_MA50,0.07397815707867439,-0.08167192115494515,0.44678712707968465,357,0,357,2008_GFC,0.9,MA50
EXIT_Z0.9_MA50,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,0.9,MA50
EXIT_Z0.9_MA50,0.03794583300939691,-0.0972764695955407,0.25048812866311504,215,0,215,2022_RATE_WAR,0.9,MA50
EXIT_Z0.9_MA50,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,0.9,MA50
EXIT_Z1.1_MA20,-0.35534371924231645,-0.5402916555230974,-0.6300882295465735,115,0,115,2008_GFC,1.1,MA20
EXIT_Z1.1_MA20,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,1.1,MA20
EXIT_Z1.1_MA20,0.003777396302664382,-0.11863213021036023,0.022849349012703076,195,0,195,2022_RATE_WAR,1.1,MA20
EXIT_Z1.1_MA20,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,1.1,MA20
EXIT_Z1.1_MA30,-0.35534371924231645,-0.5402916555230974,-0.6300882295465735,115,0,115,2008_GFC,1.1,MA30
EXIT_Z1.1_MA30,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,1.1,MA30
EXIT_Z1.1_MA30,0.003777396302664382,-0.11863213021036023,0.022849349012703076,195,0,195,2022_RATE_WAR,1.1,MA30
EXIT_Z1.1_MA30,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,1.1,MA30
EXIT_Z1.1_MA40,-0.35534371924231645,-0.5402916555230974,-0.6300882295465735,115,0,115,2008_GFC,1.1,MA40
EXIT_Z1.1_MA40,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,1.1,MA40
EXIT_Z1.1_MA40,0.003777396302664382,-0.11863213021036023,0.022849349012703076,195,0,195,2022_RATE_WAR,1.1,MA40
EXIT_Z1.1_MA40,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,1.1,MA40
EXIT_Z1.1_MA50,-0.35534371924231645,-0.5402916555230974,-0.6300882295465735,115,0,115,2008_GFC,1.1,MA50
EXIT_Z1.1_MA50,0.17010035588062133,-0.0698950637250666,2.1601157115119674,30,30,23,COVID_2020,1.1,MA50
EXIT_Z1.1_MA50,0.003777396302664382,-0.11863213021036023,0.022849349012703076,195,0,195,2022_RATE_WAR,1.1,MA50
EXIT_Z1.1_MA50,0.24041161718812987,-0.1459905702079367,1.4114320680744281,49,49,10,2025_PULLBACK,1.1,MA50
